threshold,prompt_conditional,prompt_invariant,conditional_fraction
-0.5,312,48,0.8666666666666667
-0.45,302,58,0.8388888888888889
-0.4,278,82,0.7722222222222223
-0.35000000000000003,254,106,0.7055555555555556
-0.30000000000000004,240,120,0.6666666666666666
-0.25,219,141,0.6083333333333333
-0.2,191,169,0.5305555555555556
-0.15000000000000002,157,203,0.4361111111111111
-0.1,108,252,0.3
-0.05,61,299,0.16944444444444445
0.0,0,360,0.0
0.05,0,360,0.0
0.1,0,360,0.0
0.15000000000000002,0,360,0.0
0.2,0,360,0.0
0.25,0,360,0.0
0.30000000000000004,0,360,0.0
0.35000000000000003,0,360,0.0
0.4,0,360,0.0
0.45,0,360,0.0
0.5,0,360,0.0
