context_fields,left_context,right_context,axis,spearman,zero_label_agreement
factor,action,appearance,cphi_score,0.5761030519104888,0.5694444444444444
factor,action,appearance,age_js_score,0.6914788132290866,0.9944444444444445
factor,action,atmosphere,cphi_score,0.7159109703183809,0.6611111111111111
factor,action,atmosphere,age_js_score,0.4945045137039277,0.7027777777777777
factor,action,camera,cphi_score,0.7336450413045642,0.6777777777777778
factor,action,camera,age_js_score,0.699327927914488,0.925
factor,action,identity,cphi_score,0.5888510471273541,0.5694444444444444
factor,action,identity,age_js_score,0.7123642590063807,0.9944444444444445
factor,action,object,cphi_score,0.7500634673302079,0.575
factor,action,object,age_js_score,0.7746911063686733,0.9944444444444445
factor,action,scene,cphi_score,0.7378579345222923,0.6388888888888888
factor,action,scene,age_js_score,0.4386532631210185,0.7
factor,action,style,cphi_score,0.5683231275465703,0.6027777777777777
factor,action,style,age_js_score,0.7183467782902891,0.8694444444444445
factor,appearance,atmosphere,cphi_score,0.7288351565025913,0.875
factor,appearance,atmosphere,age_js_score,0.1409301391239888,0.7027777777777777
factor,appearance,camera,cphi_score,0.6074424093458891,0.8527777777777777
factor,appearance,camera,age_js_score,0.608339054181166,0.9194444444444444
factor,appearance,identity,cphi_score,0.7876453864845324,1.0
factor,appearance,identity,age_js_score,0.9857475654137903,1.0
factor,appearance,object,cphi_score,0.7727061929453136,0.9944444444444445
factor,appearance,object,age_js_score,0.9358384516595003,1.0
factor,appearance,scene,cphi_score,0.7536459312618591,0.9305555555555556
factor,appearance,scene,age_js_score,0.08428461451602656,0.7
factor,appearance,style,cphi_score,0.6465192509851905,0.8444444444444444
factor,appearance,style,age_js_score,0.6532116784002991,0.875
factor,atmosphere,camera,cphi_score,0.6789579371715871,0.8055555555555556
factor,atmosphere,camera,age_js_score,0.4057011796049567,0.6888888888888889
factor,atmosphere,identity,cphi_score,0.628060096295437,0.875
factor,atmosphere,identity,age_js_score,0.1556633049773048,0.7027777777777777
factor,atmosphere,object,cphi_score,0.841391347917487,0.875
factor,atmosphere,object,age_js_score,0.3504006222499098,0.7027777777777777
factor,atmosphere,scene,cphi_score,0.8502654567705816,0.8666666666666667
factor,atmosphere,scene,age_js_score,0.8757578462210381,0.8361111111111111
factor,atmosphere,style,cphi_score,0.671077442489082,0.7972222222222223
factor,atmosphere,style,age_js_score,0.45775802266921856,0.6722222222222223
factor,camera,identity,cphi_score,0.6031317751535755,0.8527777777777777
factor,camera,identity,age_js_score,0.6226208110597514,0.9194444444444444
factor,camera,object,cphi_score,0.6828701482859191,0.8583333333333333
factor,camera,object,age_js_score,0.6620230272591862,0.9194444444444444
factor,camera,scene,cphi_score,0.6742234158052814,0.8277777777777777
factor,camera,scene,age_js_score,0.3572507212898105,0.6694444444444444
factor,camera,style,cphi_score,0.7580566213465774,0.8305555555555556
factor,camera,style,age_js_score,0.7863744966018292,0.8666666666666667
factor,identity,object,cphi_score,0.7196372163679093,0.9944444444444445
factor,identity,object,age_js_score,0.934370793762171,1.0
factor,identity,scene,cphi_score,0.6899128999309897,0.9305555555555556
factor,identity,scene,age_js_score,0.09017608036571587,0.7
factor,identity,style,cphi_score,0.6168116533991868,0.8444444444444444
factor,identity,style,age_js_score,0.660751108524119,0.875
factor,object,scene,cphi_score,0.8622122332089365,0.9305555555555556
factor,object,scene,age_js_score,0.29530223438440034,0.7
factor,object,style,cphi_score,0.6254498978478209,0.8388888888888889
