mode,current_frame,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,temporal_reach_ratio,temporal_reach_ratio_samples
clean,21,0,0,0.0,16,0.0,16,0.0,16,0.16678930819034576,16
clean,21,0,1,0.0,16,0.0,16,0.0,16,0.29294125735759735,16
clean,21,0,2,0.0,16,0.0,16,0.0,16,0.19842766225337982,16
clean,21,0,3,0.0,16,0.0,16,0.0,16,0.18305613100528717,16
clean,21,0,4,0.0,16,0.0,16,0.0,16,0.5793253481388092,16
clean,21,0,5,0.0,16,0.0,16,0.0,16,0.6189911067485809,16
clean,21,0,6,0.0,16,0.0,16,0.0,16,0.3497505486011505,16
clean,21,0,7,0.0,16,0.0,16,0.0,16,0.26080989837646484,16
clean,21,0,8,0.0,16,0.0,16,0.0,16,0.21426472812891006,16
clean,21,0,9,0.0,16,0.0,16,0.0,16,0.26179487258195877,16
clean,21,0,10,0.0,16,0.0,16,0.0,16,0.3411382883787155,16
clean,21,0,11,0.0,16,0.0,16,0.0,16,0.6216349601745605,16
clean,21,1,0,-0.7569396843826266,16,-0.1592115121691452,16,-0.7015651398854793,16,0.4639195203781128,16
clean,21,1,1,-0.7223778801604288,16,-0.08672633509370234,16,-1.0180848700429055,16,0.387990340590477,16
clean,21,1,2,-1.5004359579783146,16,-0.21270986852263168,16,-1.4232927032663478,16,0.44665195047855377,16
clean,21,1,3,-0.7661633004093218,16,-0.17099814228552845,16,-0.7345333730907062,16,0.5840476453304291,16
clean,21,1,4,-1.146555170311363,16,-0.022409017708237312,16,-0.6008858945026609,16,0.5024292469024658,16
clean,21,1,5,-0.6498612972383108,16,-0.020161462874171438,16,-0.6743907101466426,16,0.3594076633453369,16
clean,21,1,6,-0.9814634023524241,16,-0.05666787283903134,16,-1.0004968410165551,16,0.42244410514831543,16
clean,21,1,7,-0.7325462916525125,16,-0.056967539605056065,16,-0.5767092088639825,16,0.11294924095273018,16
clean,21,1,8,-1.2983758383305222,16,-0.3830892616560728,16,-1.3436048351630752,16,0.3484629988670349,16
clean,21,1,9,-0.3909393634438353,16,-0.24013028317173768,16,-0.6231989577366939,16,0.46778230369091034,16
clean,21,1,10,-0.2172840695577517,16,-0.01621804942644383,16,-0.24691653529271673,16,0.1619877889752388,16
clean,21,1,11,-1.2500309076081022,16,-0.48228654206616073,16,-1.3452594713535457,16,0.1950322985649109,16
clean,21,2,0,-0.8504998870548007,16,-0.03475609714359902,16,-0.8305688455227632,16,0.16697575151920319,16
clean,21,2,1,-0.7058536138235922,16,-0.02832430084660141,16,-0.7916770148477517,16,0.2035660520195961,16
clean,21,2,2,-1.3336453551235377,16,-0.05538420020100636,16,-0.8367098196769722,16,0.17537274956703186,16
clean,21,2,3,-0.1707020382004149,16,-0.047369192090361556,16,-0.6124698925802365,16,0.7573667168617249,16
clean,21,2,4,-0.29959802333333124,16,-0.04299858960453093,16,-0.6547527834184241,16,0.8386850357055664,16
clean,21,2,5,-0.6748208382125348,16,-0.019609943801472372,16,-0.22887944609671512,16,0.2312549129128456,16
clean,21,2,6,-0.6344603606429887,16,-0.027453593715749892,16,-0.663272088619798,16,0.18661387264728546,16
clean,21,2,7,-0.4437887092734394,16,-0.023261903308646407,16,-0.44374732800417366,16,0.7888104021549225,16
clean,21,2,8,-0.3185081545454798,16,-0.08344604432736957,16,-0.9802231752688113,16,0.6360624134540558,16
clean,21,2,9,-0.754373891295472,16,-0.013486023728422395,16,-0.4236804007692563,16,0.2481304034590721,16
clean,21,2,10,-0.6100959446636645,16,-0.019429669621394183,16,-0.11017308788287891,16,0.4541414827108383,16
clean,21,2,11,-1.0100974313140716,16,-0.06255733611980888,16,-0.5457241506911443,16,0.7198911607265472,16
clean,21,3,0,-0.11748935674257113,16,-0.08026959157214461,16,-0.5259625689096603,16,0.6999967694282532,16
clean,21,3,1,-0.25909044962738204,16,-0.007013934718413715,16,-0.02174291833699487,16,0.29865796864032745,16
clean,21,3,2,-0.38776287191782755,16,-0.018176908159636462,16,-0.4414182487691356,16,0.39808760583400726,16
clean,21,3,3,-0.477581455325804,16,-0.025989143951235354,16,-0.2734856629309639,16,0.21950019150972366,16
clean,21,3,4,-0.261374314765242,16,-0.009582529644423226,16,-0.1495225993833922,16,0.5830612480640411,16
clean,21,3,5,-0.48729008254003264,16,-0.030561538215406425,16,-0.006927562316982036,16,0.1749962568283081,16
clean,21,3,6,-0.30605538463685583,16,-0.0061497700756946395,16,-0.028124284260150567,16,0.185088112950325,16
clean,21,3,7,-0.31353754935214706,16,-0.023298536187296007,16,-0.3897478819848158,16,0.6975545585155487,16
clean,21,3,8,0.044013798917209024,16,-0.03030330213345863,16,-0.42980144402626863,16,0.28341804444789886,16
clean,21,3,9,-0.8323736829763733,16,-0.03218701232546306,16,-0.4984175959991391,16,0.25053004175424576,16
clean,21,3,10,-0.6142219752777562,16,-0.016919786920375296,16,-0.37306582490266094,16,0.19962510466575623,16
clean,21,3,11,-0.33594989109775114,16,-0.009970490526159014,16,0.04470379247626777,16,0.26964959502220154,16
clean,21,4,0,-0.45429882895947726,16,-0.06254725606437478,16,-0.9258773982171826,16,0.47471342980861664,16
clean,21,4,1,-0.2541807566865324,16,-0.03350358062081474,16,-0.5304404230177985,16,0.1752246841788292,16
clean,21,4,2,-0.2965258908368984,16,-0.024989754536070566,16,-0.00042181802123588547,16,0.2433411404490471,16
clean,21,4,3,-0.7126244424412371,16,-0.02768194125101055,16,0.15233887249106937,16,0.718471109867096,16
clean,21,4,4,-0.8108361489383746,16,-0.05974403151112182,16,-0.7825798210010291,16,0.3808796852827072,16
clean,21,4,5,-0.1852372651807889,16,-0.028597091462980773,16,-0.5057161130292491,16,0.7697771191596985,16
clean,21,4,6,-0.5876631566475656,16,-0.007193247771016181,16,-0.016227844146914912,16,0.20113394409418106,16
clean,21,4,7,-0.9029504502940804,16,-0.017616196423071398,16,-0.5747386864350512,16,0.2628374248743057,16
clean,21,4,8,-0.5118759128881525,16,-0.012130537220833638,16,-0.15261194365198297,16,0.3268159180879593,16
clean,21,4,9,-0.6181140770276266,16,-0.03279301478583275,16,-1.043874566283253,16,0.27148444950580597,16
clean,21,4,10,-0.763325361529305,16,-0.03522272864781458,16,-0.6686360960201012,16,0.24415323138237,16
clean,21,4,11,-0.7281317955356034,16,-0.029488010770754927,16,-0.5207877101530225,16,0.19189585745334625,16
clean,21,5,0,-0.46883190230091676,16,-0.0158388698391766,16,-0.42024798959867116,16,0.35926295816898346,16
clean,21,5,1,-0.5891438613235074,16,-0.007557515541615465,16,-0.41001695620652173,16,0.8359623551368713,16
clean,21,5,2,-0.2889024822146018,16,-0.010125666777776937,16,0.06566065469069646,16,0.7247044444084167,16
clean,21,5,3,-0.4051733645269022,16,-0.0026747574528459264,16,-0.30838572552493787,16,0.3225547522306442,16
clean,21,5,4,-0.45541239228743347,16,-0.023228792329736712,16,-0.3251158762189682,16,0.6280099749565125,16
clean,21,5,5,-0.36156950510273606,16,-0.012512163808721704,16,-0.23903708147386457,16,0.17409887164831161,16
clean,21,5,6,-0.6698485510428536,16,-0.016407065795300567,16,-0.3710457962566035,16,0.5802176594734192,16
clean,21,5,7,-0.33636993880326543,16,-0.017434777502264458,16,-0.7449858296540764,16,0.4966059476137161,16
clean,21,5,8,-0.33908690487582094,16,-0.008083618839692299,16,-0.309319527379857,16,0.2244890183210373,16
clean,21,5,9,-0.1411601279162718,16,-0.016361368856372682,16,-0.19048765890682157,16,0.908900260925293,16
clean,21,5,10,-0.4863027079866554,16,-0.0014014691524198127,16,-0.05436252561239941,16,0.5524407923221588,16
clean,21,5,11,-0.25128336586153593,16,-0.04124269282220538,16,-0.4312283276574475,16,0.5084504783153534,16
clean,21,6,0,-0.22977098369957233,16,-0.011163514659360186,16,-0.37041012933391676,16,0.2725379168987274,16
clean,21,6,1,-0.1962498722928547,16,-0.010093260221367747,16,-0.02603070862375331,16,0.232668898999691,16
clean,21,6,2,-0.5889547380289093,16,-0.01848394964892161,16,-0.3528068562196923,16,0.22610259801149368,16
clean,21,6,3,-0.11011635708546526,16,-0.014823550525166786,16,-0.1369767871672961,16,0.2843225300312042,16
clean,21,6,4,-0.14024113758926196,16,-0.012291670909537908,16,-0.17106729770337537,16,0.277360200881958,16
clean,21,6,5,-0.2867901150396026,16,-0.012335099569992606,16,-0.3697165894217444,16,0.27908793091773987,16
clean,21,6,6,-0.2513789953858937,16,-0.012664696580482231,16,-0.3270589686409898,16,0.27709682285785675,16
clean,21,6,7,-0.15138462334863612,16,-0.008482293728330054,16,0.02192084784994204,16,0.24848967790603638,16
clean,21,6,8,-0.16291520693417977,16,-0.010290226782587262,16,0.12128089495323127,16,0.21657536178827286,16
clean,21,6,9,-0.06473706484193037,16,-0.01605198413670938,16,-0.33745944347031476,16,0.27232958376407623,16
clean,21,6,10,-0.25718904267699094,16,-0.018324583607707806,16,-0.36715352432608495,16,0.33298249542713165,16
clean,21,6,11,-0.026049369561042236,16,-0.0035609860538511158,16,-0.4217167040892257,16,0.6835744082927704,16
clean,21,7,0,-0.3995855597760293,16,-0.043138562535051314,16,-0.3380603072470911,16,0.47051025927066803,16
clean,21,7,1,-0.07936817327513702,16,-0.004222726715503689,16,-0.1069573427549523,16,0.12989266216754913,16
clean,21,7,2,-0.19661953779563088,16,-0.01843759430299684,16,-0.28709918660592526,16,0.3581181764602661,16
clean,21,7,3,-0.04350896255523857,16,-0.011757257182389251,16,-0.03056048910751038,16,0.7167568802833557,16
clean,21,7,4,-0.3179418179124501,16,-0.027973073803291993,16,-0.3335275839884048,16,0.3227544128894806,16
clean,21,7,5,-0.32765201210305905,16,-0.014571606269463605,16,-0.3584459039690752,16,0.27956482768058777,16
clean,21,7,6,-0.14938813556444192,16,-0.015176452309581413,16,-0.1381931525443521,16,0.2579903155565262,16
clean,21,7,7,-0.28549966221390466,16,-0.008190498405387684,16,-0.18214814580089017,16,0.17226967215538025,16
clean,21,7,8,0.041042947401208535,16,-0.044037735494759825,16,-0.23839190577772718,16,0.6803967356681824,16
clean,21,7,9,-0.25828326940918067,16,-0.021921017992256993,16,-0.3434229703716626,16,0.27941928803920746,16
clean,21,7,10,-0.08186278261501839,16,-0.009448406893048773,16,-0.1290209442516725,16,0.26000337302684784,16
clean,21,7,11,-0.10353174905309045,16,-0.006994844911084202,16,0.03606093778226467,16,0.2142084538936615,16
clean,21,8,0,-0.3448227881492856,16,-0.02064330453942744,16,-0.3033698890048857,16,0.506422221660614,16
clean,21,8,1,0.1784382376071834,16,-0.021399029602903644,16,-0.11121951113315942,16,0.14674325287342072,16
clean,21,8,2,-0.08599479297998038,16,-0.010491550770323679,16,-0.04880004736994259,16,0.36226557195186615,16
clean,21,8,3,-0.29227904099676194,16,-0.0020585597472001305,16,-0.30120516066597663,16,0.5665339529514313,16
clean,21,8,4,0.24995121537381426,16,-0.026446723134307994,16,-0.05538602023304173,16,0.45172034204006195,16
clean,21,8,5,-0.11767260221727291,16,-0.035497026142230506,16,-0.09537193602532233,16,0.5616936385631561,16
clean,21,8,6,-0.2738201052767325,16,-0.01868255531710024,16,-0.20193619942214586,16,0.5284070074558258,16
clean,21,8,7,-0.2330327723980551,16,-0.009672397211653245,16,-0.06068652458324837,16,0.15336059033870697,16
clean,21,8,8,-0.014424952719803773,16,-0.01424042059528696,16,-0.1353435587537036,16,0.16236145049333572,16
clean,21,8,9,-0.15761932962065917,16,-0.0025141339332125706,16,0.12001669124056623,16,0.25106634199619293,16
clean,21,8,10,-0.28050937659555997,16,-0.04139643294635225,16,-0.4229283021584415,16,0.5770009458065033,16
clean,21,8,11,-0.6428448456590464,16,-0.015264065621782825,16,-0.05728355595357978,16,0.36582528054714203,16
clean,21,9,0,-0.32121120894948096,16,-0.023902598978650984,16,-0.4730645203728667,16,0.2943599969148636,16
clean,21,9,1,-0.06727858650434754,16,-0.018855297004438755,16,-0.04418119979586417,16,0.3421655297279358,16
clean,21,9,2,0.058954824582052624,16,-0.016695665590887355,16,-0.3820664878413689,16,0.28062012791633606,16
clean,21,9,3,-0.06005661479838973,16,-0.0051937580048934525,16,-0.19237625142219972,16,0.3839310109615326,16
