mode,nominal_timestep,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,native_score,native_score_samples,query_score,query_score_samples
clean,0,0,0,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,1,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,2,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,3,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,4,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,5,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,6,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,7,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,8,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,9,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,10,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,0,11,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
clean,0,1,0,-0.5120747239313939,16,-0.11768334379517285,16,-0.6364995858496354,16,-0.9773796543881832,16,-0.7844785338886133,16
clean,0,1,1,-0.6452044880670882,16,-0.04431172922504131,16,-0.8035271133614666,16,-0.8762714647632716,16,-0.7201755121872018,16
clean,0,1,2,-1.324526158947743,16,-0.09202590938675581,16,-1.2639396793756505,16,-0.8385791235113842,16,-0.712494210155502,16
clean,0,1,3,-0.7266024024733906,16,-0.08456462998133185,16,-0.4971798193130128,16,-0.8815077972862102,16,-0.820423414050258,16
clean,0,1,4,-1.0391118727184805,16,-0.008931736138012743,16,-0.4447671127138487,16,-0.8335723280532782,16,-0.5069472827734389,16
clean,0,1,5,-0.490792066885066,16,-0.0028140328686887236,16,-0.32454000493259394,16,-0.6941492889362243,16,-0.532971820447294,16
clean,0,1,6,-0.9015625932037322,16,-0.03357117617906728,16,-0.846586699776019,16,-0.8823723476746494,16,-0.752867837465821,16
clean,0,1,7,-0.44337181037988377,16,-0.026453020012040144,16,-0.5219018424927444,16,-0.8710776681319522,16,-0.7673948648061686,16
clean,0,1,8,-1.2057937152341316,16,-0.3298452685225957,16,-1.4064286740836314,16,-0.8644753387501529,16,-0.8965241052750992,16
clean,0,1,9,-0.3959271611320111,16,-0.15665217046722263,16,-0.4906219312891371,16,-0.7512306418578714,16,-0.711308236145675,16
clean,0,1,10,-0.21169413642866794,16,-0.012583067397668048,16,-0.3708919224844714,16,-0.9398858902032751,16,-0.7046992822710556,16
clean,0,1,11,-1.0475579933830486,16,-0.33977980466004065,16,-1.1517989313644468,16,-0.8201269768235564,16,-0.7417907909940135,16
clean,0,2,0,-0.7390796566126911,16,-0.03551663605990077,16,-0.956409978673733,16,-0.6726067847923622,16,-0.7260108066914863,16
clean,0,2,1,-0.40282915150307996,16,-0.01662538064095759,16,-0.8462333964031024,16,-0.6244765183998462,16,-0.6319199279689829,16
clean,0,2,2,-1.3626010214619115,16,-0.03520503162512115,16,-0.7643950076259524,16,-0.8939127097430615,16,-1.1525473005462368,16
clean,0,2,3,-0.23533112620592916,16,-0.03007876251908294,16,-0.2979750006491697,16,-0.7537813774838711,16,-0.594999091016392,16
clean,0,2,4,-0.06308990593196762,16,-0.01643886634223806,16,-0.3149281556538669,16,-0.8416557597172931,16,-0.5851147642754546,16
clean,0,2,5,-0.48689110154941745,16,-0.011100673972697936,16,-0.20621767547482828,16,-0.5294653794233963,16,-0.73835751648658,16
clean,0,2,6,-0.5159096189031434,16,-0.011678466159941486,16,-0.6118418401344901,16,-0.7368281127014369,16,-0.7340178695146286,16
clean,0,2,7,-0.5006881472877127,16,-0.012245295754205104,16,-0.32099956655133965,16,-0.639386535938907,16,-0.5927693101329158,16
clean,0,2,8,-0.26479047620523766,16,-0.050035327954211464,16,-0.8964748383640775,16,-0.6812414259235489,16,-0.6427481143280165,16
clean,0,2,9,-0.7151312037629114,16,-0.00801528654872067,16,-0.32979941692849635,16,-0.5366519218908106,16,-0.6406135496404484,16
clean,0,2,10,-0.2547729136239246,16,-0.011093456878825418,16,-0.1646405384466596,16,-0.6618488219573373,16,-0.5621286228351676,16
clean,0,2,11,-0.8425073299784777,16,-0.08468683532713223,16,-0.3374166891775119,16,-0.728341620830558,16,-0.6786642430773135,16
clean,0,3,0,-0.0796396158437475,16,-0.09459417421638075,16,-0.6842365690051111,16,-0.5094464471560411,16,-0.3188921207547845,16
clean,0,3,1,-0.19104739216675753,16,-0.004299259203614285,16,-0.197052707014851,16,-0.5291108701643197,16,-0.28189044654093076,16
clean,0,3,2,-0.3846347977267511,16,-0.02384961529939971,16,-0.3545774519076418,16,-0.42529775087595656,16,-0.2178559990922317,16
clean,0,3,3,-0.4566928583023859,16,-0.012739646504442433,16,-0.34772356576445296,16,-0.4194309460072257,16,-0.5052195587480715,16
clean,0,3,4,-0.27060989147566694,16,-0.012850236618590598,16,-0.10062942530501445,16,-0.512665792242635,16,-0.267317806143882,16
clean,0,3,5,-0.8239153966418435,16,-0.01616192594484116,16,-0.2342313568493244,16,-0.4444452411092693,16,-0.4046159203907369,16
clean,0,3,6,-0.2733141613354156,16,-0.006506000168891384,16,-0.29314800721663214,16,-0.5467040889603574,16,-0.44272517391497784,16
clean,0,3,7,-0.20388815217284018,16,-0.01761601513526517,16,-0.44708078181106403,16,-0.5672692477573658,16,-0.45729088809875784,16
clean,0,3,8,-0.07119275160793287,16,-0.014848232148190336,16,-0.2808736945679995,16,-0.5173037838231742,16,-0.31945293685763615,16
clean,0,3,9,-0.44808728290319433,16,-0.021577785079534385,16,-0.38661075189198907,16,-0.451489416474293,16,-0.4186116497548492,16
clean,0,3,10,-0.5656212413408452,16,-0.008581472640537158,16,-0.3293421864077289,16,-0.47570563609579847,16,-0.4219818343666853,16
clean,0,3,11,-0.20208512867870077,16,-0.006786680846298659,16,-0.006889055288594608,16,-0.46860483756054805,16,-0.344125234198007,16
clean,0,4,0,-0.3922656314704027,16,-0.037659533516958346,16,-0.48151170742212346,16,-0.6297958231405938,16,-0.759906278652057,16
clean,0,4,1,-0.36151122705547956,16,-0.024443780838656677,16,-0.467794276154943,16,-0.729926118223502,16,-0.682012209010594,16
clean,0,4,2,-0.1360030966852273,16,-0.02782853336460739,16,-0.17028847809574665,16,-0.6843516776562002,16,-0.5116083105604233,16
clean,0,4,3,-0.4659974683118705,16,-0.035035945335891605,16,-0.4084665454360593,16,-0.767105487921624,16,-0.9649164108485595,16
clean,0,4,4,-0.8749481059459365,16,-0.11112224897003642,16,-0.9358929435524023,16,-0.8111186439939705,16,-0.7400897915939305,16
clean,0,4,5,-0.4793688007522182,16,-0.027078915474710807,16,-0.6653157911858838,16,-0.6976651836696655,16,-0.7903326325603577,16
clean,0,4,6,-0.6920684989498751,16,-0.006376037800480898,16,-0.368806368922402,16,-0.6599030766700275,16,-0.5903862577988539,16
clean,0,4,7,-0.6251291266723402,16,-0.007175776639046545,16,-0.4864713971372472,16,-0.676047135344353,16,-0.6998462735394623,16
clean,0,4,8,-0.36046951493796076,16,-0.008517718880220276,16,-0.3691549575476417,16,-0.5851757097411185,16,-0.5685439583889605,16
clean,0,4,9,-0.7489612169658892,16,-0.02759648562815344,16,-0.9476358554509248,16,-0.6267906773665124,16,-0.6634504709456177,16
clean,0,4,10,-0.8766035759015767,16,-0.04253736642498021,16,-0.7148795908173127,16,-0.7865405509808726,16,-0.7539918442921225,16
clean,0,4,11,-0.49822356189266603,16,-0.023672467855607563,16,-0.37460219824883123,16,-0.6587893359564774,16,-0.6127162876389252,16
clean,0,5,0,-0.40492066145859773,16,-0.015175050254670513,16,-0.2877039095448725,16,-0.4947871654671871,16,-0.3427625929747713,16
clean,0,5,1,-0.5335680428216442,16,-0.020816874074530856,16,-0.606016946926766,16,-0.5232350660342575,16,-0.34955374663223127,16
clean,0,5,2,-0.3713989922427174,16,-0.011488351693588186,16,-0.07798135602286807,16,-0.5520363521006018,16,-0.45344725043286005,16
clean,0,5,3,-0.47865057419204754,16,-0.002076927790567275,16,-0.22670551333697583,16,-0.5322597342432729,16,-0.5472734683814755,16
clean,0,5,4,-0.5171035555244188,16,-0.03127736003658847,16,-0.502626447826908,16,-0.6081077002055703,16,-0.3838615054747106,16
clean,0,5,5,-0.36097597784528435,16,-0.014855510172047417,16,-0.39351845061612095,16,-0.5591644895362307,16,-0.399290585678069,16
clean,0,5,6,-0.4432305618837201,16,-0.025707566278263753,16,-0.2569237994578664,16,-0.5294088502630676,16,-0.46809098558753054,16
clean,0,5,7,-0.26256489907890457,16,-0.011865642017083136,16,-0.5219651476578114,16,-0.4967764932880763,16,-0.4128653480273259,16
clean,0,5,8,-0.36798379975565776,16,-0.01078125434172163,16,-0.42567869217202053,16,-0.44854133154855286,16,-0.36745348579715587,16
clean,0,5,9,-0.4276850913608443,16,-0.013617984472440555,16,-0.2606145594866539,16,-0.40061072589717994,16,-0.3987250060588683,16
clean,0,5,10,-0.1474641598439205,16,-0.0007888375933054802,16,-0.05608813907855749,16,-0.45290052327558233,16,-0.4290221174059391,16
clean,0,5,11,-0.3002988952700614,16,-0.027630452392738918,16,-0.46385310421618775,16,-0.5374607832426891,16,-0.45593623092806645,16
clean,0,6,0,-0.1251062889263294,16,-0.010551114653198346,16,-0.3027960048783298,16,-0.35261294238219143,16,-0.2211765111598072,16
clean,0,6,1,-0.17201420182827132,16,-0.004731659984570855,16,-0.1587697991702726,16,-0.25750451164235755,16,-0.21217994424976985,16
clean,0,6,2,-0.5159591392808843,16,-0.017851931145046802,16,-0.36445386618742304,16,-0.3665301498244449,16,-0.24405306421501133,16
clean,0,6,3,-0.21049546067378452,16,-0.010100849733307438,16,-0.16243133883832367,16,-0.3291910236433062,16,-0.3095041941408164,16
clean,0,6,4,-0.33511228524678793,16,-0.01153078532940333,16,-0.23471406485339516,16,-0.3512814723510195,16,-0.3153563498343981,16
clean,0,6,5,-0.33726916977838417,16,-0.005673961036719612,16,-0.12128719352041584,16,-0.3126900923877661,16,-0.2516986470214124,16
clean,0,6,6,-0.38266400757585906,16,-0.010133378431069729,16,-0.2586515406019162,16,-0.20930057362302507,16,-0.2965628708233392,16
clean,0,6,7,-0.30618742832174534,16,-0.01068862271235544,16,-0.3341712805667174,16,-0.36213468248757713,16,-0.35237882299622936,16
clean,0,6,8,-0.14575303984836485,16,-0.007893073030819387,16,-0.08588819542061996,16,-0.31423984096874513,16,-0.1618168471349149,16
clean,0,6,9,-0.2496526599490011,16,-0.023012636352049063,16,-0.5355537057434647,16,-0.415607371922903,16,-0.2585763080842321,16
clean,0,6,10,-0.340649627871089,16,-0.013877252382149185,16,-0.22327224975232057,16,-0.240637820286756,16,-0.3499197439071191,16
clean,0,6,11,-0.13347288496527193,16,-0.003233730152321033,16,-0.2517247305759267,16,-0.38657821960769995,16,-0.2981644923427537,16
clean,0,7,0,-0.49464077872022927,16,-0.05133802136246304,16,-0.4691305517638328,16,-0.25109834571907064,16,-0.36513648451301456,16
clean,0,7,1,-0.21167715817153143,16,-0.00457395768716065,16,-0.12433545286400871,16,-0.2800249514132582,16,-0.2756597562203529,16
clean,0,7,2,-0.2898644368253891,16,-0.008207933080612986,16,-0.16059843954781386,16,-0.2817605895555172,16,-0.2922607309509565,16
clean,0,7,3,-0.2624449721408593,16,-0.015295729907045495,16,-0.345587193009515,16,-0.2434036721098421,16,-0.24968497590127187,16
clean,0,7,4,-0.368445051598716,16,-0.031498842958080545,16,-0.4122495201316791,16,-0.1907302381730639,16,-0.2619015406509167,16
clean,0,7,5,-0.3645240430867077,16,-0.020771236812513867,16,-0.24222903778015095,16,-0.28062741429238536,16,-0.3080395329630733,16
clean,0,7,6,-0.2819921076788079,16,-0.014490538443071733,16,-0.0030037528352614973,16,-0.24987794958493925,16,-0.27637277760058826,16
clean,0,7,7,-0.15460004714420414,16,-0.002202723601198839,16,-0.01286427402923837,16,-0.1703289901763819,16,-0.3042159520482842,16
clean,0,7,8,-0.21959852680425518,16,-0.020220613165497475,16,-0.15248308638856645,16,-0.33000120512585573,16,-0.2994482782879461,16
clean,0,7,9,-0.16518688219358402,16,-0.01709490822640578,16,-0.3092834293998017,16,-0.32634254338077473,16,-0.26628440664259384,16
clean,0,7,10,-0.10867257682342711,16,-0.0020629644328872074,16,-0.24742223894799678,16,-0.2581610998105177,16,-0.23673940035041857,16
clean,0,7,11,-0.13693266467664789,16,-0.0011331129598990861,16,-0.03596452918354556,16,-0.32873332482721357,16,-0.2555148933129465,16
clean,0,8,0,-0.25800462437082033,16,-0.034228652673018764,16,-0.545821902725032,16,-0.241127109922148,16,-0.16449993238324084,16
clean,0,8,1,-0.2517608855249187,16,-0.012678014272879231,16,-0.10262088019185286,16,-0.2150771459374341,16,-0.09034209391485204,16
clean,0,8,2,-0.2775442163468683,16,-0.007497995995913102,16,-0.14695899138303373,16,-0.26496054784179723,16,-0.12094999392100342,16
clean,0,8,3,-0.19384252424733425,16,-0.013925013589304227,16,-0.18929054709349602,16,-0.1919302955905275,16,-0.21388996422263426,16
clean,0,8,4,-0.268316036495941,16,-0.021887273700776096,16,-0.22745994084173693,16,-0.20013916548654817,16,-0.27774726219301815,16
clean,0,8,5,-0.13393020287380952,16,0.0051318968044617415,16,-0.013283464694611957,16,-0.19262959758384024,16,-0.11395095872135219,16
clean,0,8,6,-0.2826924273882017,16,-0.01185362584413753,16,-0.2491933818942524,16,-0.20881299569747924,16,-0.14090017769991903,16
clean,0,8,7,-0.22674444291492962,16,-0.009073463652236274,16,-0.1279864077715506,16,-0.12957905797046468,16,-0.05086060423100004,16
clean,0,8,8,-0.12636617681633788,16,-0.004223548476437217,16,-0.02260902275193897,16,-0.24090049925987356,16,-0.2115193164381597,16
clean,0,8,9,-0.13141693720674164,16,-0.006246846837324926,16,-0.045198621319112564,16,-0.14768525451701142,16,-0.055976050006763395,16
clean,0,8,10,-0.49674839927511927,16,-0.016968368882551647,16,-0.3253864460160111,16,-0.21521212059003245,16,-0.2649038218278119,16
