job_id,kind,records,base_states,observed_branches,bad_layer_groups,tensor_failures,passed
moviebench_qwen_000,observational,810,27,base,0,0,1
moviebench_qwen_001,observational,810,27,base,0,0,1
moviebench_qwen_002,observational,810,27,base,0,0,1
moviebench_qwen_003,observational,810,27,base,0,0,1
moviebench_qwen_004,observational,810,27,base,0,0,1
moviebench_qwen_005,observational,810,27,base,0,0,1
moviebench_qwen_006,observational,810,27,base,0,0,1
moviebench_qwen_007,observational,810,27,base,0,0,1
moviebench_qwen_008,observational,810,27,base,0,0,1
moviebench_qwen_009,observational,810,27,base,0,0,1
moviebench_qwen_010,observational,810,27,base,0,0,1
moviebench_qwen_011,observational,810,27,base,0,0,1
moviebench_qwen_012,observational,810,27,base,0,0,1
moviebench_qwen_013,observational,810,27,base,0,0,1
moviebench_qwen_014,observational,810,27,base,0,0,1
moviebench_qwen_015,observational,810,27,base,0,0,1
moviebench_qwen_016,observational,810,27,base,0,0,1
moviebench_qwen_017,observational,810,27,base,0,0,1
moviebench_qwen_018,observational,810,27,base,0,0,1
moviebench_qwen_019,observational,810,27,base,0,0,1
moviebench_qwen_020,observational,810,27,base,0,0,1
moviebench_qwen_021,observational,810,27,base,0,0,1
moviebench_qwen_022,observational,810,27,base,0,0,1
moviebench_qwen_023,observational,810,27,base,0,0,1
moviebench_qwen_024,observational,810,27,base,0,0,1
moviebench_qwen_025,observational,810,27,base,0,0,1
moviebench_qwen_026,observational,810,27,base,0,0,1
moviebench_qwen_027,observational,810,27,base,0,0,1
moviebench_qwen_028,observational,810,27,base,0,0,1
moviebench_qwen_029,observational,810,27,base,0,0,1
moviebench_qwen_030,observational,810,27,base,0,0,1
moviebench_qwen_031,observational,810,27,base,0,0,1
moviebench_qwen_032,observational,810,27,base,0,0,1
moviebench_qwen_033,observational,810,27,base,0,0,1
moviebench_qwen_034,observational,810,27,base,0,0,1
moviebench_qwen_035,observational,810,27,base,0,0,1
moviebench_qwen_036,observational,810,27,base,0,0,1
moviebench_qwen_037,observational,810,27,base,0,0,1
moviebench_qwen_038,observational,810,27,base,0,0,1
moviebench_qwen_039,observational,810,27,base,0,0,1
moviebench_qwen_040,observational,810,27,base,0,0,1
moviebench_qwen_041,observational,810,27,base,0,0,1
moviebench_qwen_042,observational,810,27,base,0,0,1
moviebench_qwen_043,observational,810,27,base,0,0,1
moviebench_qwen_044,observational,810,27,base,0,0,1
moviebench_qwen_045,observational,810,27,base,0,0,1
moviebench_qwen_046,observational,810,27,base,0,0,1
moviebench_qwen_047,observational,810,27,base,0,0,1
moviebench_qwen_048,observational,810,27,base,0,0,1
moviebench_qwen_049,observational,810,27,base,0,0,1
moviebench_qwen_050,observational,810,27,base,0,0,1
moviebench_qwen_051,observational,810,27,base,0,0,1
moviebench_qwen_052,observational,810,27,base,0,0,1
moviebench_qwen_053,observational,810,27,base,0,0,1
moviebench_qwen_054,observational,810,27,base,0,0,1
moviebench_qwen_055,observational,810,27,base,0,0,1
moviebench_qwen_056,observational,810,27,base,0,0,1
moviebench_qwen_057,observational,810,27,base,0,0,1
moviebench_qwen_058,observational,810,27,base,0,0,1
moviebench_qwen_059,observational,810,27,base,0,0,1
moviebench_qwen_060,observational,810,27,base,0,0,1
moviebench_qwen_061,observational,810,27,base,0,0,1
moviebench_qwen_062,observational,810,27,base,0,0,1
moviebench_qwen_063,observational,810,27,base,0,0,1
moviebench_qwen_064,observational,810,27,base,0,0,1
moviebench_qwen_065,observational,810,27,base,0,0,1
moviebench_qwen_066,observational,810,27,base,0,0,1
moviebench_qwen_067,observational,810,27,base,0,0,1
moviebench_qwen_068,observational,810,27,base,0,0,1
moviebench_qwen_069,observational,810,27,base,0,0,1
moviebench_qwen_070,observational,810,27,base,0,0,1
moviebench_qwen_071,observational,810,27,base,0,0,1
moviebench_qwen_072,observational,810,27,base,0,0,1
moviebench_qwen_073,observational,810,27,base,0,0,1
moviebench_qwen_074,observational,810,27,base,0,0,1
moviebench_qwen_075,observational,810,27,base,0,0,1
moviebench_qwen_076,observational,810,27,base,0,0,1
moviebench_qwen_077,observational,810,27,base,0,0,1
moviebench_qwen_078,observational,810,27,base,0,0,1
moviebench_qwen_079,observational,810,27,base,0,0,1
moviebench_qwen_080,observational,810,27,base,0,0,1
moviebench_qwen_081,observational,810,27,base,0,0,1
moviebench_qwen_082,observational,810,27,base,0,0,1
moviebench_qwen_083,observational,810,27,base,0,0,1
moviebench_qwen_084,observational,810,27,base,0,0,1
moviebench_qwen_085,observational,810,27,base,0,0,1
moviebench_qwen_086,observational,810,27,base,0,0,1
moviebench_qwen_087,observational,810,27,base,0,0,1
moviebench_qwen_088,observational,810,27,base,0,0,1
moviebench_qwen_089,observational,810,27,base,0,0,1
moviebench_qwen_090,observational,810,27,base,0,0,1
moviebench_qwen_091,observational,810,27,base,0,0,1
moviebench_qwen_092,observational,810,27,base,0,0,1
moviebench_qwen_093,observational,810,27,base,0,0,1
moviebench_qwen_094,observational,810,27,base,0,0,1
moviebench_qwen_095,observational,810,27,base,0,0,1
moviebench_qwen_096,observational,810,27,base,0,0,1
moviebench_qwen_097,observational,810,27,base,0,0,1
moviebench_qwen_098,observational,810,27,base,0,0,1
moviebench_qwen_099,observational,810,27,base,0,0,1
moviebench_qwen_100,observational,810,27,base,0,0,1
moviebench_qwen_101,observational,810,27,base,0,0,1
moviebench_qwen_102,observational,810,27,base,0,0,1
moviebench_qwen_103,observational,810,27,base,0,0,1
moviebench_qwen_104,observational,810,27,base,0,0,1
moviebench_qwen_105,observational,810,27,base,0,0,1
moviebench_qwen_106,observational,810,27,base,0,0,1
moviebench_qwen_107,observational,810,27,base,0,0,1
moviebench_qwen_108,observational,810,27,base,0,0,1
moviebench_qwen_109,observational,810,27,base,0,0,1
moviebench_qwen_110,observational,810,27,base,0,0,1
moviebench_qwen_111,observational,810,27,base,0,0,1
moviebench_qwen_112,observational,810,27,base,0,0,1
moviebench_qwen_113,observational,810,27,base,0,0,1
moviebench_qwen_114,observational,810,27,base,0,0,1
moviebench_qwen_115,observational,810,27,base,0,0,1
moviebench_qwen_116,observational,810,27,base,0,0,1
moviebench_qwen_117,observational,810,27,base,0,0,1
moviebench_qwen_118,observational,810,27,base,0,0,1
moviebench_qwen_119,observational,810,27,base,0,0,1
moviebench_qwen_120,observational,810,27,base,0,0,1
moviebench_qwen_121,observational,810,27,base,0,0,1
moviebench_qwen_122,observational,810,27,base,0,0,1
moviebench_qwen_123,observational,810,27,base,0,0,1
moviebench_qwen_124,observational,810,27,base,0,0,1
moviebench_qwen_125,observational,810,27,base,0,0,1
moviebench_qwen_126,observational,810,27,base,0,0,1
moviebench_qwen_127,observational,810,27,base,0,0,1
cf_00_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_00_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_00_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_00_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_00_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_00_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_00_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_00_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_01_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_01_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_01_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_01_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_01_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_01_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_01_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_01_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_02_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_02_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_02_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_02_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_02_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_02_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_02_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_02_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_03_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_03_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_03_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_03_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_03_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_03_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_03_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_03_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_04_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_04_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_04_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_04_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_04_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_04_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_04_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_04_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_05_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_05_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_05_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_05_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_05_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_05_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_05_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_05_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_06_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_06_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_06_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_06_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_06_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_06_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_06_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_06_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_07_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_07_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_07_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_07_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_07_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_07_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_07_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_07_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_08_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_08_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_08_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_08_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_08_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_08_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_08_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_08_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_09_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_09_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_09_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_09_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_09_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_09_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_09_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_09_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_10_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_10_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_10_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_10_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_10_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_10_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_10_atmosphere,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_10_style,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_11_identity,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_11_appearance,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_11_action,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_11_scene,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_11_object,counterfactual,2430,27,"base,null,semantic",0,0,1
cf_11_camera,counterfactual,2430,27,"base,null,semantic",0,0,1
