variant,minimum_feature_split_spearman,excluded_feature_groups,selection_status,selected_clusters,accepted_feature_count,best_diagnostic_k,best_split_label_agreement,best_split_ari,best_discovery_silhouette,best_bootstrap_ari_median,best_minimum_cluster_fraction,best_passed
rho_030,0.3,,no_stable_k,,11,3,0.9333333333333333,0.7933269192548618,0.22981102855271357,0.8405172307925808,0.025,0
drop_episodic_compatibility,0.3,episodic_compatibility,no_stable_k,,11,3,0.9333333333333333,0.7933269192548618,0.22981102855271357,0.8405172307925808,0.025,0
drop_history_intervention,0.3,history_intervention,no_stable_k,,7,5,0.8694444444444445,0.723503438469244,0.27372441364747335,0.7084903994548735,0.019444444444444445,0
drop_history_specificity,0.3,history_specificity,no_stable_k,,10,3,0.9638888888888889,0.9160301377754881,0.30575445362135617,0.8775910009560741,0.025,0
drop_output_policy,0.3,output_policy,no_stable_k,,11,3,0.9333333333333333,0.7933269192548618,0.22981102855271357,0.8405172307925808,0.025,0
drop_prompt_modulation,0.3,prompt_modulation,validated_candidate,2,9,2,0.9583333333333334,0.8398345177815691,0.28247500765555267,0.9022288968335206,0.4527777777777778,1
drop_switch_plasticity,0.3,switch_plasticity,no_stable_k,,11,3,0.9333333333333333,0.7933269192548618,0.22981102855271357,0.8405172307925808,0.025,0
drop_temporal_allocation,0.3,temporal_allocation,no_stable_k,,7,3,0.9305555555555556,0.78116653636526,0.30112487126339343,0.9003067634083485,0.025,0
rho_050,0.5,,no_stable_k,,11,3,0.9333333333333333,0.7933269192548618,0.22981102855271357,0.8405172307925808,0.025,0
rho_070,0.7,,no_stable_k,,11,3,0.9333333333333333,0.7933269192548618,0.22981102855271357,0.8405172307925808,0.025,0
