left_feature,right_feature,discovery_spearman,validation_spearman
v136_prompt.age_js_score,v136_prompt.cphi_score,0.47982742030445286,0.24400236944699447
v136_prompt.age_js_score,v136_temporal.middle_recent_margin,-0.05463877208623698,-0.10741754191129795
v136_prompt.age_js_score,v136_temporal.old_mass_excess,0.07770161696635997,0.05236582180178528
v136_prompt.age_js_score,v136_temporal.spectral_peak_ratio,-0.018337927292097878,0.09591286914076036
v136_prompt.age_js_score,v136_temporal.temporal_reach_ratio,-0.2620312747805207,-0.24982956735219605
v136_prompt.age_js_score,v138_cross.history_specificity,-0.27370094671451595,-0.2051740805823231
v136_prompt.age_js_score,v138_local.freeze_latest_relative_log,0.12261907045171491,0.09394985493108113
v136_prompt.age_js_score,v138_local.phase_shift_relative_log,0.04740221485493124,0.014651488460831148
v136_prompt.age_js_score,v138_local.reverse_relative_log,0.06696303929848613,0.03298902994038781
v136_prompt.age_js_score,v138_local.value_mismatch_relative_log,-0.16919821855206368,-0.3140679984846534
v136_prompt.cphi_score,v136_temporal.middle_recent_margin,0.13605113407395994,0.08273068344103937
v136_prompt.cphi_score,v136_temporal.old_mass_excess,0.1681527951695635,0.13203636877012304
v136_prompt.cphi_score,v136_temporal.spectral_peak_ratio,-0.20064695622375858,-0.23400315109919842
v136_prompt.cphi_score,v136_temporal.temporal_reach_ratio,0.041390741046149385,0.04536486742897877
v136_prompt.cphi_score,v138_cross.history_specificity,-0.1989235316021711,-0.07637004928246198
v136_prompt.cphi_score,v138_local.freeze_latest_relative_log,0.15091996359967302,0.08515101411623352
v136_prompt.cphi_score,v138_local.phase_shift_relative_log,-0.038664075213234075,-0.09527705007284541
v136_prompt.cphi_score,v138_local.reverse_relative_log,-0.0015539243118156602,-0.04484427770670535
v136_prompt.cphi_score,v138_local.value_mismatch_relative_log,0.26047323513493215,0.25649370737652577
v136_temporal.middle_recent_margin,v136_temporal.old_mass_excess,0.8003822045951999,0.7966141714056435
v136_temporal.middle_recent_margin,v136_temporal.spectral_peak_ratio,0.24664799368307883,0.23103727652219536
v136_temporal.middle_recent_margin,v136_temporal.temporal_reach_ratio,0.5256316278160582,0.5107547126135232
v136_temporal.middle_recent_margin,v138_cross.history_specificity,-0.4606246961782112,-0.4906089810363763
v136_temporal.middle_recent_margin,v138_local.freeze_latest_relative_log,0.38455260714460243,0.42290089686906013
v136_temporal.middle_recent_margin,v138_local.phase_shift_relative_log,0.49345313878450703,0.49884567010547914
v136_temporal.middle_recent_margin,v138_local.reverse_relative_log,0.49776721528201084,0.501006437806876
v136_temporal.middle_recent_margin,v138_local.value_mismatch_relative_log,-0.11904104198334862,-0.10785397006664145
v136_temporal.old_mass_excess,v136_temporal.spectral_peak_ratio,0.2714071867838486,0.24377451472104977
v136_temporal.old_mass_excess,v136_temporal.temporal_reach_ratio,0.34170839795574554,0.3215282010920866
v136_temporal.old_mass_excess,v138_cross.history_specificity,-0.3822498630390666,-0.39563731201629637
v136_temporal.old_mass_excess,v138_local.freeze_latest_relative_log,0.5802624505847525,0.6225099473504168
v136_temporal.old_mass_excess,v138_local.phase_shift_relative_log,0.3265416142614269,0.3283296939019591
v136_temporal.old_mass_excess,v138_local.reverse_relative_log,0.36182969518797725,0.3677847308492606
v136_temporal.old_mass_excess,v138_local.value_mismatch_relative_log,-0.19273554065489185,-0.1906655658351273
v136_temporal.spectral_peak_ratio,v136_temporal.temporal_reach_ratio,0.18018657551369996,0.16505194227321712
v136_temporal.spectral_peak_ratio,v138_cross.history_specificity,-0.2920215433761063,-0.31631596951622565
v136_temporal.spectral_peak_ratio,v138_local.freeze_latest_relative_log,-0.0844399519543618,-0.030360316566228646
v136_temporal.spectral_peak_ratio,v138_local.phase_shift_relative_log,0.5898008472287595,0.5879502671059704
v136_temporal.spectral_peak_ratio,v138_local.reverse_relative_log,0.5611928589983975,0.54735658968562
v136_temporal.spectral_peak_ratio,v138_local.value_mismatch_relative_log,-0.47797951115877946,-0.43402675432166393
v136_temporal.temporal_reach_ratio,v138_cross.history_specificity,-0.0942484124105896,-0.1011275807169294
v136_temporal.temporal_reach_ratio,v138_local.freeze_latest_relative_log,0.11302787830153008,0.12411901326399123
v136_temporal.temporal_reach_ratio,v138_local.phase_shift_relative_log,0.1529962936956818,0.12826410697613405
v136_temporal.temporal_reach_ratio,v138_local.reverse_relative_log,0.14059727827118007,0.11923651674267034
v136_temporal.temporal_reach_ratio,v138_local.value_mismatch_relative_log,0.14385553386471603,0.204272923916594
v138_cross.history_specificity,v138_local.freeze_latest_relative_log,-0.11222231653022012,-0.20542545338569998
v138_cross.history_specificity,v138_local.phase_shift_relative_log,-0.6315002430574309,-0.6445551277401832
v138_cross.history_specificity,v138_local.reverse_relative_log,-0.6027888589675331,-0.6169219412701229
v138_cross.history_specificity,v138_local.value_mismatch_relative_log,0.43841181902123727,0.4401291676633307
v138_local.freeze_latest_relative_log,v138_local.phase_shift_relative_log,0.0005231521848162408,0.09727827118007598
v138_local.freeze_latest_relative_log,v138_local.reverse_relative_log,0.04525575043017307,0.14093498663827136
v138_local.freeze_latest_relative_log,v138_local.value_mismatch_relative_log,0.020430970403578212,-0.06879991357958008
v138_local.phase_shift_relative_log,v138_local.reverse_relative_log,0.9410154913746762,0.9411129715507064
v138_local.phase_shift_relative_log,v138_local.value_mismatch_relative_log,-0.48976818236766223,-0.45952283582435044
v138_local.reverse_relative_log,v138_local.value_mismatch_relative_log,-0.4558908633554271,-0.43513761680259877
