left_feature,right_feature,discovery_spearman,validation_spearman
v136_prompt.age_js_score,v136_prompt.cphi_score,0.47982742030445286,0.24400236944699447
v136_prompt.age_js_score,v136_temporal.middle_recent_margin,-0.05463877208623698,-0.10741754191129795
v136_prompt.age_js_score,v136_temporal.old_mass_excess,0.07770161696635997,0.05236582180178528
v136_prompt.age_js_score,v136_temporal.spectral_peak_ratio,-0.018337927292097878,0.09591286914076036
v136_prompt.age_js_score,v136_temporal.temporal_reach_ratio,-0.2620312747805207,-0.24982956735219605
v136_prompt.age_js_score,v138_cross.history_specificity,-0.27370094671451595,-0.2051740805823231
v136_prompt.cphi_score,v136_temporal.middle_recent_margin,0.13605113407395994,0.08273068344103937
v136_prompt.cphi_score,v136_temporal.old_mass_excess,0.1681527951695635,0.13203636877012304
v136_prompt.cphi_score,v136_temporal.spectral_peak_ratio,-0.20064695622375858,-0.23400315109919842
v136_prompt.cphi_score,v136_temporal.temporal_reach_ratio,0.041390741046149385,0.04536486742897877
v136_prompt.cphi_score,v138_cross.history_specificity,-0.1989235316021711,-0.07637004928246198
v136_temporal.middle_recent_margin,v136_temporal.old_mass_excess,0.8003822045951999,0.7966141714056435
v136_temporal.middle_recent_margin,v136_temporal.spectral_peak_ratio,0.24664799368307883,0.23103727652219536
v136_temporal.middle_recent_margin,v136_temporal.temporal_reach_ratio,0.5256316278160582,0.5107547126135232
v136_temporal.middle_recent_margin,v138_cross.history_specificity,-0.4606246961782112,-0.4906089810363763
v136_temporal.old_mass_excess,v136_temporal.spectral_peak_ratio,0.2714071867838486,0.24377451472104977
v136_temporal.old_mass_excess,v136_temporal.temporal_reach_ratio,0.34170839795574554,0.3215282010920866
v136_temporal.old_mass_excess,v138_cross.history_specificity,-0.3822498630390666,-0.39563731201629637
v136_temporal.spectral_peak_ratio,v136_temporal.temporal_reach_ratio,0.18018657551369996,0.16505194227321712
v136_temporal.spectral_peak_ratio,v138_cross.history_specificity,-0.2920215433761063,-0.31631596951622565
v136_temporal.temporal_reach_ratio,v138_cross.history_specificity,-0.0942484124105896,-0.1011275807169294
