layer,head,cluster,validation_cluster,split_agree,cluster_margin,pf_official,legacy_v98
0,0,1,1,1,0.4427966043346054,-1,10
0,1,1,1,1,0.23552374748277724,1,10
0,2,1,1,1,0.328662418508829,1,10
0,3,1,1,1,0.20773611946371331,1,10
0,4,1,1,1,0.506486954285323,-1,10
0,5,1,1,1,0.47271956040861757,-1,10
0,6,1,1,1,0.6628456217360726,-1,10
0,7,1,1,1,0.5492840645131798,-1,10
0,8,1,1,1,0.1894237792951875,1,10
0,9,1,1,1,0.4967532968560147,-1,10
0,10,1,1,1,0.39226832012053997,-1,10
0,11,1,1,1,0.5598322418275474,-1,10
1,0,1,1,1,0.3056441208805301,-1,10
1,1,1,1,1,0.42094643497799544,-1,10
1,2,1,1,1,0.5169277473619533,-1,10
1,3,1,1,1,0.6185654242018668,-1,10
1,4,1,1,1,0.23380129143220532,-1,10
1,5,1,1,1,0.3596580323209221,-1,10
1,6,1,1,1,0.45262805896784664,-1,11
1,7,0,0,1,0.11610404333200315,1,10
1,8,1,1,1,0.4230270523511125,-1,10
1,9,1,1,1,0.6626171134743486,-1,11
1,10,1,1,1,0.092923913944218,-1,10
1,11,1,0,0,0.05436799847722812,1,10
2,0,0,0,1,0.516547648330804,1,10
2,1,1,1,1,0.18551093306270589,-1,10
2,2,1,1,1,0.35442959778725563,-1,10
2,3,1,1,1,0.4012272313672989,-1,10
2,4,1,1,1,0.3986089943219724,-1,11
2,5,1,1,1,0.45648686774309394,-1,10
2,6,0,0,1,0.15075965388308743,2,10
2,7,1,1,1,0.5224050592367527,-1,10
2,8,1,1,1,0.602151840804926,-1,10
2,9,1,1,1,0.49279958778059824,1,10
2,10,1,1,1,0.464423096809542,-1,10
2,11,1,1,1,0.5999498045836732,-1,10
3,0,1,1,1,0.4270567763410713,-1,11
3,1,1,1,1,0.47886149034691455,-1,10
3,2,1,1,1,0.5421285077272224,-1,10
3,3,0,0,1,0.36373199516230587,1,10
3,4,1,1,1,0.43034575281403914,-1,10
3,5,0,0,1,0.49924371336641193,1,10
3,6,0,0,1,0.6179373713817989,1,10
3,7,1,1,1,0.3973271142644726,-1,10
3,8,1,1,1,0.3024738832423351,-1,11
3,9,1,1,1,0.3340426558093378,1,10
3,10,1,0,0,0.10751046609517194,1,10
3,11,1,0,0,0.05036615751115327,-1,11
4,0,1,1,1,0.5913807057700478,-1,10
4,1,0,0,1,0.09679721630174017,1,10
4,2,1,1,1,0.42476136742372456,1,10
4,3,1,1,1,0.372561979818683,2,11
4,4,1,1,1,0.599947834690855,-1,10
4,5,1,1,1,0.4090977216010415,-1,10
4,6,1,1,1,0.27605447303488817,1,10
4,7,1,1,1,0.3494961926490398,-1,10
4,8,1,1,1,0.42624242705685755,1,10
4,9,1,1,1,0.5205612531451094,-1,11
4,10,1,1,1,0.33179048876905287,-1,10
4,11,1,1,1,0.234532653886086,1,10
5,0,1,1,1,0.31934765346986704,-1,10
5,1,1,1,1,0.4974988494336239,-1,10
5,2,1,1,1,0.38562352555645985,-1,10
5,3,1,1,1,0.44247865397357555,-1,10
5,4,1,1,1,0.5238193683109865,-1,10
5,5,1,1,1,0.3091503523714004,-1,10
5,6,1,1,1,0.5169990286826608,-1,10
5,7,1,1,1,0.279807361185226,-1,10
5,8,1,0,0,0.10962062350122238,1,10
5,9,1,1,1,0.3331171936451616,-1,11
5,10,1,1,1,0.3531960525950822,-1,10
5,11,1,1,1,0.5458396406606411,-1,10
6,0,1,1,1,0.5596862951903033,-1,10
6,1,0,0,1,0.3890438184742074,-1,10
6,2,1,1,1,0.08920981554401153,-1,10
6,3,0,0,1,0.17079417734337504,1,10
6,4,0,0,1,0.4259279724914392,1,10
6,5,1,1,1,0.4659789073042366,1,10
6,6,1,1,1,0.40942521513753116,1,10
6,7,1,0,0,0.15264241102779993,-1,10
6,8,0,0,1,0.7589416589851042,1,10
6,9,1,1,1,0.5862034900848327,-1,10
6,10,1,0,0,0.24220304385940275,1,10
6,11,1,1,1,0.4731839884280314,2,11
7,0,1,1,1,0.5853102643476364,-1,10
7,1,1,1,1,0.2226992279802165,1,10
7,2,1,1,1,0.625425885141022,-1,10
7,3,1,1,1,0.6141424981279201,2,11
7,4,1,1,1,0.5166680664661797,-1,10
7,5,0,0,1,0.4650070448147078,1,10
7,6,0,0,1,0.060009246068575696,1,10
7,7,1,1,1,0.18604308684059384,-1,10
7,8,1,1,1,0.37852326830748373,2,11
7,9,1,1,1,0.05056820453811624,1,10
7,10,1,1,1,0.18531897219993115,1,10
7,11,0,0,1,0.4072851762283088,-1,10
8,0,1,1,1,0.6646472340325905,-1,10
8,1,1,1,1,0.27042184192732494,-1,10
8,2,1,1,1,0.6019897139928969,-1,10
8,3,1,1,1,0.49217260044674815,-1,10
8,4,1,1,1,0.6270817207258617,2,11
8,5,1,1,1,0.7036943559451363,-1,10
8,6,1,1,1,0.4203473094985727,1,10
8,7,1,1,1,0.2431682948591231,-1,10
8,8,1,1,1,0.20874044368528352,1,10
8,9,1,1,1,0.5248522590619252,1,10
8,10,1,1,1,0.6893134984989624,2,11
8,11,1,1,1,0.33477055968854785,-1,10
9,0,1,1,1,0.6265657611695313,-1,10
9,1,1,1,1,0.2974838249125571,1,10
9,2,1,1,1,0.3673617057815774,-1,10
9,3,1,1,1,0.4472586830476628,2,11
9,4,1,1,1,0.6695293345836127,-1,10
9,5,1,1,1,0.34541165633279125,1,10
9,6,1,1,1,0.25676063088198264,2,11
9,7,1,0,0,0.17847460413391608,1,10
9,8,1,1,1,0.5156965294000607,-1,10
9,9,1,1,1,0.35760308528754525,-1,10
9,10,0,0,1,0.22265713952119692,-1,10
9,11,1,1,1,0.3858040391468019,1,10
10,0,0,0,1,0.05872142424652912,-1,10
10,1,0,0,1,0.5985481510000386,1,10
10,2,0,0,1,0.5467921972600311,1,10
10,3,1,1,1,0.11276203638294519,1,10
10,4,0,0,1,0.43990980162026655,1,10
10,5,0,0,1,0.33593634556419266,1,10
10,6,1,1,1,0.42704289392388983,1,10
10,7,1,1,1,0.5905003012615225,1,10
10,8,1,1,1,0.7339748745079587,-1,10
10,9,1,1,1,0.6191535506387178,-1,11
10,10,0,0,1,0.5951275985733266,1,10
10,11,0,0,1,0.06265790532015145,2,11
11,0,0,0,1,0.38754176988198724,1,10
11,1,1,0,0,0.053765340954260624,2,11
11,2,0,0,1,0.23490547932921302,-1,10
11,3,1,1,1,0.2748667444596311,-1,10
11,4,0,0,1,0.1388984812644008,-1,10
11,5,1,1,1,0.029340520106095683,1,10
11,6,0,0,1,0.33895559148703125,1,10
11,7,0,0,1,0.35561377285916496,1,10
11,8,1,1,1,0.2724419351012472,1,10
11,9,1,1,1,0.4010016528433871,2,11
11,10,1,0,0,0.16121831568835424,1,10
11,11,0,0,1,0.3192061404695079,1,10
12,0,0,0,1,0.5811636384292088,-1,10
12,1,0,0,1,0.5413186473290836,1,10
12,2,1,1,1,0.6184701041734778,2,11
12,3,1,1,1,0.6068224656809883,-1,10
12,4,0,0,1,0.5790204809784298,1,10
12,5,0,0,1,0.4038504208665664,1,10
12,6,1,0,0,0.0622166585423986,-1,10
12,7,0,0,1,0.14379308495951215,-1,10
12,8,1,1,1,0.24609611765354006,2,11
12,9,0,0,1,0.3092161712873285,1,10
12,10,1,1,1,0.6183865572552347,-1,10
12,11,0,0,1,0.3565812142359783,-1,10
13,0,1,1,1,0.34798446635265334,2,11
13,1,0,0,1,0.6376732293907481,1,10
13,2,0,0,1,0.4956739089849758,1,10
13,3,0,0,1,0.04240031908473567,1,10
13,4,0,0,1,0.668716447134015,1,10
13,5,0,0,1,0.6509426570987502,1,10
13,6,0,0,1,0.7420589802629596,1,10
13,7,0,0,1,0.6956016396989999,1,10
13,8,0,0,1,0.6551338763940922,1,10
13,9,0,0,1,0.5155676770532538,-1,10
13,10,0,0,1,0.5202330905864078,1,10
13,11,1,1,1,0.5219335349229244,2,11
14,0,1,0,0,0.15181566456619217,2,11
14,1,0,0,1,0.5131382610421451,1,10
14,2,0,0,1,0.6630299558056607,1,10
14,3,0,0,1,0.2335430267032804,-1,10
14,4,1,1,1,0.4455040822331099,2,11
14,5,1,1,1,0.48056350658218216,-1,10
14,6,0,0,1,0.18688763791794125,1,10
14,7,0,0,1,0.4788465858514715,1,10
14,8,1,1,1,0.17969950283246983,-1,10
