feature,conceptual_group,finite_heads,discovery_iqr,split_spearman,minimum_split_spearman,excluded_by_group_ablation,accepted,reason
v136_prompt.age_js_score,prompt_modulation,360,0.05414060816333669,0.7946498133790418,0.3,0,1,accepted
v136_prompt.cphi_score,prompt_modulation,360,0.362640589976959,0.7658424616115892,0.3,0,1,accepted
v136_temporal.middle_recent_margin,temporal_allocation,360,1.0912010073661804,0.9939472269590558,0.3,1,0,excluded_feature_group
v136_temporal.old_mass_excess,temporal_allocation,360,0.2895287089049816,0.9941923420190998,0.3,1,0,excluded_feature_group
v136_temporal.positive_logit_fraction,temporal_allocation,360,0.0,0.9810388287290688,0.3,1,0,excluded_feature_group
v136_temporal.sign_switch_rate,temporal_allocation,360,0.0,0.978811553536358,0.3,1,0,excluded_feature_group
v136_temporal.spectral_peak_ratio,temporal_allocation,360,0.1605774089694023,0.9867079735697547,0.3,1,0,excluded_feature_group
v136_temporal.temporal_reach_ratio,temporal_allocation,360,0.14460090547800064,0.9949770702963242,0.3,1,0,excluded_feature_group
v138_cross.history_specificity,history_specificity,360,0.06731262430548668,0.9629729653263785,0.3,0,1,accepted
v138_local.freeze_latest_relative_log,history_intervention,360,0.1615665449147698,0.9564078426531069,0.3,0,1,accepted
v138_local.phase_shift_relative_log,history_intervention,360,1.4874991603387955,0.9977715877437325,0.3,0,1,accepted
v138_local.reverse_relative_log,history_intervention,360,1.217348359485217,0.9967756952857145,0.3,0,1,accepted
v138_local.value_mismatch_relative_log,history_intervention,360,0.9971451285674596,0.9905490525904262,0.3,0,1,accepted
