left_feature,right_feature,discovery_spearman,validation_spearman
v136_prompt.age_js_score,v136_prompt.cphi_score,0.47982742030445286,0.24400236944699447
v136_prompt.age_js_score,v138_cross.history_specificity,-0.27370094671451595,-0.2051740805823231
v136_prompt.age_js_score,v138_local.freeze_latest_relative_log,0.12261907045171491,0.09394985493108113
v136_prompt.age_js_score,v138_local.phase_shift_relative_log,0.04740221485493124,0.014651488460831148
v136_prompt.age_js_score,v138_local.reverse_relative_log,0.06696303929848613,0.03298902994038781
v136_prompt.age_js_score,v138_local.value_mismatch_relative_log,-0.16919821855206368,-0.3140679984846534
v136_prompt.cphi_score,v138_cross.history_specificity,-0.1989235316021711,-0.07637004928246198
v136_prompt.cphi_score,v138_local.freeze_latest_relative_log,0.15091996359967302,0.08515101411623352
v136_prompt.cphi_score,v138_local.phase_shift_relative_log,-0.038664075213234075,-0.09527705007284541
v136_prompt.cphi_score,v138_local.reverse_relative_log,-0.0015539243118156602,-0.04484427770670535
v136_prompt.cphi_score,v138_local.value_mismatch_relative_log,0.26047323513493215,0.25649370737652577
v138_cross.history_specificity,v138_local.freeze_latest_relative_log,-0.11222231653022012,-0.20542545338569998
v138_cross.history_specificity,v138_local.phase_shift_relative_log,-0.6315002430574309,-0.6445551277401832
v138_cross.history_specificity,v138_local.reverse_relative_log,-0.6027888589675331,-0.6169219412701229
v138_cross.history_specificity,v138_local.value_mismatch_relative_log,0.43841181902123727,0.4401291676633307
v138_local.freeze_latest_relative_log,v138_local.phase_shift_relative_log,0.0005231521848162408,0.09727827118007598
v138_local.freeze_latest_relative_log,v138_local.reverse_relative_log,0.04525575043017307,0.14093498663827136
v138_local.freeze_latest_relative_log,v138_local.value_mismatch_relative_log,0.020430970403578212,-0.06879991357958008
v138_local.phase_shift_relative_log,v138_local.reverse_relative_log,0.9410154913746762,0.9411129715507064
v138_local.phase_shift_relative_log,v138_local.value_mismatch_relative_log,-0.48976818236766223,-0.45952283582435044
v138_local.reverse_relative_log,v138_local.value_mismatch_relative_log,-0.4558908633554271,-0.43513761680259877
