method,prompt_index,sample_index,video,decoded_frames,retained_frames,fps,duration_seconds,appearance_delta_mean,appearance_delta_median,appearance_delta_p95,appearance_delta_max,flow_speed_mean,flow_speed_median,flow_speed_p95,flow_speed_max,flow_accel_mean,flow_accel_median,flow_accel_p95,flow_accel_max,motion_floor,motion_coverage_fraction,low_motion_fraction,longest_low_motion_run_fraction,late_motion_median,earlier_motion_median,late_motion_ratio,luma_mean,luma_median,luma_p95,luma_max,luma_contrast_mean,luma_contrast_median,luma_contrast_p95,luma_contrast_max,edge_density_mean,edge_density_median,edge_density_p95,edge_density_max,dark_frame_fraction,bright_frame_fraction,low_contrast_frame_fraction,edge_density_outlier_fraction,appearance_jump_ratio,flow_jump_ratio,appearance_outlier_fraction,flow_accel_outlier_fraction,temporal_jump
ours_all_recent8_reference,0,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v161_state_matched_motion_moviebench16/full8/published_indexed/ours_all_recent8_reference/000000-0_v161.mp4,477,239,16.0,29.8125,0.060197580271211915,0.0591102357004203,0.08250473433849859,0.09133493760052849,1.0844075162621105,1.042837917804718,1.648106175661087,2.4100940227508545,0.16527276728223647,0.12142467498779297,0.5274439811706543,0.8750370740890503,0.10428379178047181,1.0,0.0,0.0,1.099668264389038,0.9905217289924622,1.1101909551318956,0.3232633066955863,0.31909363407525176,0.37834005075847904,0.39072053441308957,0.2685823419090973,0.27564906194712846,0.30597947903916123,0.3148539960129119,0.16462791897546086,0.16498627533783783,0.18089896537162162,0.1858108108108108,0.0,0.0,0.0,0.0,1.3957774547989485,0.5057775251220041,0.004201680672268907,0.10548523206751055,0.9507774899604764
ours_all_recent8_reference,1,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v161_state_matched_motion_moviebench16/full8/published_indexed/ours_all_recent8_reference/000001-0_v161.mp4,477,239,16.0,29.8125,0.02424500098160099,0.021090178396187577,0.047530860900878893,0.05509768841313381,0.43404094787204966,0.42564916610717773,0.7479036748409269,1.182822823524475,0.08830954756917833,0.06737165153026581,0.24409300088882438,0.39563971757888794,0.042564916610717776,1.0,0.0,0.0,0.46753406524658203,0.4135092943906784,1.1306494717017455,0.3526579416663618,0.32279660174880764,0.5039101624602543,0.5076514474032856,0.2244474125911568,0.22117527871454534,0.24280796917768036,0.25360778292965047,0.12313985991744884,0.11800570101351351,0.1509369721283784,0.15519425675675674,0.0,0.0,0.0,0.2301255230125523,2.2536964841165563,0.5734605405696065,0.15546218487394958,0.08016877637130802,1.4135785123430815
ours_all_recent8_reference,2,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v161_state_matched_motion_moviebench16/full8/published_indexed/ours_all_recent8_reference/000002-0_v161.mp4,477,239,16.0,29.8125,0.011557230373488794,0.010857957017187978,0.021533974853216425,0.03224157071581074,0.11326291178110517,0.0811278447508812,0.3050901621580123,0.43676912784576416,0.02729424600045389,0.01952596753835678,0.07544633150100707,0.1388559341430664,0.02,1.0,0.0,0.0,0.2414042204618454,0.06774823367595673,3.563254823978056,0.28011010910923234,0.27834329044117645,0.30254830542859035,0.3088053126656068,0.24296972138538592,0.2439704281202612,0.24958922602316516,0.2536908050468929,0.09687846760856043,0.09245671452702703,0.12360377956081081,0.12742820945945946,0.0,0.0,0.0,0.0,1.9832437003690913,0.9299683941152349,0.06302521008403361,0.13924050632911392,1.4566060472421631
ours_all_recent8_reference,3,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v161_state_matched_motion_moviebench16/full8/published_indexed/ours_all_recent8_reference/000003-0_v161.mp4,477,239,16.0,29.8125,0.02665717077718808,0.024938467437145756,0.04077971402336568,0.052176901873420264,0.33864979802810846,0.2959800660610199,0.6913296937942504,1.0900417566299438,0.06950617785946729,0.047490835189819336,0.21615600585937497,0.35487592220306396,0.02959800660610199,1.0,0.0,0.0,0.2118557095527649,0.34270985424518585,0.6181780504076092,0.4070809272711827,0.4020841613672496,0.45160363258479064,0.45902080849231586,0.2596035515331043,0.25835212348494335,0.2708176592772063,0.2721840497422882,0.14649508703918354,0.14350190033783783,0.18166965793918918,0.18509818412162163,0.0,0.0,0.0,0.0,1.6352133155794668,0.7303059585601004,0.10084033613445378,0.14767932489451477,1.1827596370697835
ours_all_recent8_reference,4,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v161_state_matched_motion_moviebench16/full8/published_indexed/ours_all_recent8_reference/000004-0_v161.mp4,477,239,16.0,29.8125,0.05612703796115812,0.05237417969049192,0.09788928798600736,0.1354138692220052,0.5370163610596367,0.3836297392845154,1.400473642349241,2.813340187072754,0.1258104998728394,0.07204264402389526,0.5376271843910218,1.0071682929992676,0.03836297392845154,1.0,0.0,0.0,0.3025073707103729,0.42560291290283203,0.7107737318974539,0.3553807995460849,0.3444108745694224,0.4375320035108638,0.4536716058889772,0.22202448580117626,0.22451761943327894,0.24441610491448268,0.2541487625514778,0.1527777532370236,0.1514991554054054,0.17453547297297298,0.18037373310810811,0.0,0.0,0.0,0.0,1.8690371584717789,1.401422072735335,0.06302521008403361,0.16877637130801687,1.6352296156035568
ours_all_recent8_reference,5,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v161_state_matched_motion_moviebench16/full8/published_indexed/ours_all_recent8_reference/000005-0_v161.mp4,477,239,16.0,29.8125,0.026458542610947232,0.023334462034936044,0.04574991768481684,0.05312779370476218,0.3631233412052403,0.3098739683628082,0.7417266845703124,0.9678882360458374,0.05533047636601492,0.03911416232585907,0.1871634125709533,0.47863346338272095,0.030987396836280823,1.0,0.0,0.0,0.2612171024084091,0.39535242319107056,0.6607196189668099,0.21958482492037018,0.22132715206014839,0.24622199175278217,0.25909212291335454,0.22365455756260083,0.22403817984329366,0.24958057144360896,0.26383940005713363,0.16652174124307362,0.16775760135135134,0.18794605152027025,0.1912742820945946,0.0,0.0,0.0,0.0,1.9606159171923776,0.6039985015837719,0.046218487394957986,0.10548523206751055,1.2823072093880747
ours_all_recent8_reference,6,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v161_state_matched_motion_moviebench16/full8/published_indexed/ours_all_recent8_reference/000006-0_v161.mp4,477,239,16.0,29.8125,0.03537729712407855,0.03292635562373143,0.060381909538717825,0.07389167336856618,1.0754275743951316,0.8621402382850647,2.331970071792602,4.968162536621094,0.18208560687077197,0.11004507541656494,0.6089054584503172,1.6627538204193115,0.08621402382850647,1.0,0.0,0.0,0.40596139430999756,1.0570525527000427,0.3840503419371584,0.32902686665175507,0.3404852692766296,0.40907289182564915,0.4220737281399046,0.2570339439619705,0.2555287618926904,0.2982204895845426,0.30334990777175047,0.09720170615175844,0.09504328547297297,0.12464368665540539,0.14508551520270271,0.0,0.0,0.0,0.03765690376569038,1.833847335816236,0.706271939773427,0.05042016806722689,0.11392405063291139,1.2700596377948314
ours_all_recent8_reference,7,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v161_state_matched_motion_moviebench16/full8/published_indexed/ours_all_recent8_reference/000007-0_v161.mp4,477,239,16.0,29.8125,0.11049324376006793,0.10443324294744753,0.17105300529330383,0.1884203592936198,3.891394743398458,3.2731138467788696,9.32184257507324,12.025165557861328,0.7605176937731006,0.46729373931884766,2.173819422721863,6.216007232666016,0.327311384677887,1.0,0.0,0.0,4.569579124450684,3.2532217502593994,1.4046319234421456,0.3778652671542297,0.3761648367117117,0.4467447813162426,0.4871247971316905,0.2857605297294682,0.287490783160239,0.30635637449739467,0.3155482986310218,0.159380786709827,0.15601245777027026,0.18315297719594595,0.20357369087837837,0.0,0.0,0.0,0.04184100418410042,1.6379172040016072,0.6641441527801294,0.12184873949579832,0.13924050632911392,1.1510306783908684
ours_all_recent8_reference,8,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v161_state_matched_motion_moviebench16/full8/published_indexed/ours_all_recent8_reference/000008-0_v161.mp4,477,239,16.0,29.8125,0.07740331286161495,0.07759930105770335,0.10297485388961491,0.11091328041226256,3.415541615806708,3.103783130645752,6.442044019699095,9.570136070251465,1.3657958276161162,1.0152924060821533,4.093115901947021,7.275243282318115,0.3103783130645752,1.0,0.0,0.0,2.883136510848999,3.2309430837631226,0.8923513773232339,0.35564070302227524,0.3558873211446741,0.3798780823562533,0.406998853173026,0.23155624636553773,0.23176386551634626,0.2554746562100575,0.26179962404066204,0.08734740313666178,0.08770586993243243,0.1164088893581081,0.13806482263513514,0.0,0.0,0.0,0.0502092050209205,1.3270074921556592,1.3187506116432288,0.0,0.12658227848101267,1.322879051899444
ours_all_recent8_reference,9,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v161_state_matched_motion_moviebench16/full8/published_indexed/ours_all_recent8_reference/000009-0_v161.mp4,477,239,16.0,29.8125,0.07927227336112308,0.07570951873180913,0.11074715820013306,0.14498832553040747,1.7465911334803124,1.5184844136238098,3.21483929157257,6.134097099304199,0.6802206924696009,0.41519761085510254,2.216442346572876,4.52773642539978,0.151848441362381,1.0,0.0,0.0,1.5236448049545288,1.4917636513710022,1.0213714508690612,0.33266496574988413,0.33452984234234234,0.35595864591613674,0.36673187433757287,0.3213871897070999,0.3281368166943942,0.3444947387457736,0.34698334632934963,0.15116641959035396,0.14709142736486486,0.17510293496621623,0.18739442567567569,0.0,0.0,0.0,0.08786610878661087,1.4627904133486846,1.4596411571215366,0.037815126050420166,0.12236286919831224,1.4612157852351106
