method,prompt_index,sample_index,video,decoded_frames,retained_frames,fps,duration_seconds,appearance_delta_mean,appearance_delta_median,appearance_delta_p95,appearance_delta_max,flow_speed_mean,flow_speed_median,flow_speed_p95,flow_speed_max,flow_accel_mean,flow_accel_median,flow_accel_p95,flow_accel_max,motion_floor,motion_coverage_fraction,low_motion_fraction,longest_low_motion_run_fraction,late_motion_median,earlier_motion_median,late_motion_ratio,luma_mean,luma_median,luma_p95,luma_max,luma_contrast_mean,luma_contrast_median,luma_contrast_p95,luma_contrast_max,edge_density_mean,edge_density_median,edge_density_p95,edge_density_max,dark_frame_fraction,bright_frame_fraction,low_contrast_frame_fraction,edge_density_outlier_fraction,appearance_jump_ratio,flow_jump_ratio,appearance_outlier_fraction,flow_accel_outlier_fraction,temporal_jump
ours_middle10_reservoir2_deficitstaterankmotion1,0,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v167_state_conditioned_motion_moviebench16/full8/published_indexed/ours_middle10_reservoir2_deficitstaterankmotion1/000000-0_v167.mp4,477,239,16.0,29.8125,0.06300619197335701,0.06336384567559933,0.08609535105088176,0.11669368369906556,1.0045064130500585,0.968785434961319,1.6759180724620815,2.10215425491333,0.20625016810018806,0.13791489601135254,0.597860264778137,1.2473026514053345,0.0968785434961319,1.0,0.0,0.0,1.052013099193573,0.9489189088344574,1.1086438360531192,0.33367090613102646,0.33067120429252783,0.37802924822800743,0.39070418074324326,0.28033210149102494,0.2695179962196459,0.3281550724261755,0.33628975621064294,0.16628143817850277,0.1653029983108108,0.18488967483108107,0.1884765625,0.0,0.0,0.0,0.0,1.358745671650988,0.6171235066121818,0.01680672268907563,0.1518987341772152,0.9879345891315849
ours_middle10_reservoir2_deficitstaterankmotion1,1,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v167_state_conditioned_motion_moviebench16/full8/published_indexed/ours_middle10_reservoir2_deficitstaterankmotion1/000001-0_v167.mp4,477,239,16.0,29.8125,0.01972040748611905,0.019420655568440755,0.02837197696461397,0.03146425508985332,0.4875336872617237,0.49889950454235077,0.7942367702722548,0.941631555557251,0.10075094799200694,0.06224089860916138,0.3056065917015075,0.3937433958053589,0.04988995045423508,1.0,0.0,0.0,0.549063503742218,0.47977739572525024,1.1444130311980043,0.33211535000958997,0.30315108306836247,0.5025338355359036,0.5077295931041336,0.22894855118555568,0.2264671370076516,0.25425862006097605,0.25724370416209136,0.10242056746861924,0.09298458614864864,0.14882548564189188,0.1522117820945946,0.0,0.0,0.0,0.2594142259414226,1.460917571223467,0.6125614255356813,0.012605042016806723,0.1729957805907173,1.0367394983795741
ours_middle10_reservoir2_deficitstaterankmotion1,2,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v167_state_conditioned_motion_moviebench16/full8/published_indexed/ours_middle10_reservoir2_deficitstaterankmotion1/000002-0_v167.mp4,477,239,16.0,29.8125,0.01296817054267691,0.011712539897245518,0.02333573472266101,0.03604617773317823,0.11804657049101441,0.09985911846160889,0.25256659835577006,0.32021564245224,0.027677744847058244,0.023179389536380768,0.07450785189867011,0.1551295816898346,0.02,1.0,0.0,0.0,0.16486867517232895,0.08872053772211075,1.8582921091926692,0.28204833729403783,0.28182631160572336,0.30575474256425544,0.31570697535771064,0.2537357583115482,0.2585440812551383,0.2701065720160806,0.27494243768548454,0.08843318426297637,0.08778505067567567,0.1061206714527027,0.11037795608108109,0.0,0.0,0.0,0.0,1.9923718448249608,0.7461296779553973,0.12605042016806722,0.08860759493670886,1.369250761390179
ours_middle10_reservoir2_deficitstaterankmotion1,3,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v167_state_conditioned_motion_moviebench16/full8/published_indexed/ours_middle10_reservoir2_deficitstaterankmotion1/000003-0_v167.mp4,477,239,16.0,29.8125,0.02170711398851461,0.02096851012286018,0.0305220443127202,0.042688358531278725,0.274855403840041,0.2517424523830414,0.4945579633116718,0.5997618436813354,0.048753627053292996,0.03236788511276245,0.15279132127761832,0.27455443143844604,0.025174245238304138,1.0,0.0,0.0,0.2814232110977173,0.23568885028362274,1.1940455000695147,0.4019789776739882,0.3950020907856386,0.44997180544515103,0.45694648002782196,0.26210343282779136,0.2611367195472911,0.2682129937457293,0.2743290682233808,0.13194416222577177,0.12895903716216217,0.1511797930743243,0.1570945945945946,0.0,0.0,0.0,0.1297071129707113,1.4556133999928118,0.606935063320735,0.06722689075630252,0.13924050632911392,1.0312742316567733
ours_middle10_reservoir2_deficitstaterankmotion1,4,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v167_state_conditioned_motion_moviebench16/full8/published_indexed/ours_middle10_reservoir2_deficitstaterankmotion1/000004-0_v167.mp4,477,239,16.0,29.8125,0.04717533919971923,0.04232867932787129,0.08417363409902527,0.12814372941559438,0.6793392495948727,0.6007924377918243,1.5275214254856084,3.1108248233795166,0.12188541373623071,0.07256409525871277,0.33652794361114485,1.1300534009933472,0.06007924377918244,1.0,0.0,0.0,0.394496887922287,0.6452363431453705,0.6113990510813611,0.32497012235361744,0.31076206031399045,0.42441158874867513,0.45363206726947536,0.24717697288625878,0.2511977660368159,0.2566006349339844,0.2584774049722591,0.14746060619981907,0.14326435810810811,0.173046875,0.17905405405405406,0.0,0.0,0.0,0.0,1.9885721793262094,0.5601401123623203,0.06722689075630252,0.189873417721519,1.274356145844265
ours_middle10_reservoir2_deficitstaterankmotion1,5,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v167_state_conditioned_motion_moviebench16/full8/published_indexed/ours_middle10_reservoir2_deficitstaterankmotion1/000005-0_v167.mp4,477,239,16.0,29.8125,0.020027879418209528,0.016058682460410922,0.04350027533138499,0.05499076843261719,0.20671200760867164,0.09758150577545166,0.6312969923019409,0.8419346809387207,0.03419869914965287,0.020078450441360474,0.12907219529151917,0.24025440216064453,0.02,1.0,0.0,0.0,0.07812131568789482,0.1025593988597393,0.7617177611847539,0.22994036085718073,0.2315393978537361,0.24407222939851614,0.2575627442700053,0.2378587049205817,0.2380407652375738,0.25810921126449227,0.26560392688111095,0.16428844672339704,0.16891891891891891,0.17871885557432432,0.18174619932432431,0.0,0.0,0.0,0.0,2.708832149749841,1.3227116579706393,0.1638655462184874,0.16033755274261605,2.01577190386024
ours_middle10_reservoir2_deficitstaterankmotion1,6,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v167_state_conditioned_motion_moviebench16/full8/published_indexed/ours_middle10_reservoir2_deficitstaterankmotion1/000006-0_v167.mp4,477,239,16.0,29.8125,0.03361880894763247,0.03129021139705883,0.055236677281996716,0.07348439085717294,1.0359434943740107,0.8572393953800201,2.3486910581588742,4.607745170593262,0.15625433856424903,0.08436381816864014,0.4963758230209336,1.6506872177124023,0.08572393953800202,1.0,0.0,0.0,0.6376957297325134,0.948992520570755,0.6719712915640077,0.3139765875835378,0.3047056132419184,0.40926108323396926,0.42204495396131425,0.25163578096429684,0.2562715398062465,0.293644889777363,0.297457860341587,0.12120407296025106,0.12373310810810811,0.1462204391891892,0.15099767736486486,0.0,0.0,0.0,0.0,1.7653021445290962,0.5790399107834828,0.1092436974789916,0.14767932489451477,1.1721710276562896
ours_middle10_reservoir2_deficitstaterankmotion1,7,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v167_state_conditioned_motion_moviebench16/full8/published_indexed/ours_middle10_reservoir2_deficitstaterankmotion1/000007-0_v167.mp4,477,239,16.0,29.8125,0.10159783254130939,0.09758260764327703,0.15036112991033806,0.2275057325176164,2.992486041634023,2.5602264404296875,6.4131186485290455,11.088918685913086,0.5671443491545407,0.36873888969421387,1.718771862983702,3.4521312713623047,0.25602264404296876,1.0,0.0,0.0,1.8650094270706177,2.93436861038208,0.635574351658491,0.3917856796523172,0.40070714096449395,0.4547544154908585,0.4871600920773715,0.2866102021514757,0.2924929710935744,0.3198722283665299,0.32729078913596477,0.16162589760262353,0.1593116554054054,0.18328230574324325,0.20278188344594594,0.0,0.0,0.0,0.06694560669456066,1.5408599292611465,0.6713358771090723,0.07563025210084033,0.12236286919831224,1.1060979031851095
ours_middle10_reservoir2_deficitstaterankmotion1,8,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v167_state_conditioned_motion_moviebench16/full8/published_indexed/ours_middle10_reservoir2_deficitstaterankmotion1/000008-0_v167.mp4,477,239,16.0,29.8125,0.08519231934860916,0.08474404204125498,0.11505556854547237,0.13434882070503984,3.874871429275064,3.7965104579925537,6.357568025588985,9.62287425994873,1.4083191704649463,1.1896815299987793,3.4882657051086414,5.350247859954834,0.3796510457992554,1.0,0.0,0.0,3.7860000133514404,3.827818989753723,0.9890749859086275,0.34831296014780166,0.35087005663751986,0.38315464361420243,0.40831791120164285,0.24183477223447453,0.2404974353089969,0.2610268253749984,0.26962847361657344,0.10677628138075314,0.10554793074324324,0.13244298986486486,0.14590371621621623,0.0,0.0,0.0,0.029288702928870293,1.3576832751199333,0.9188084014795787,0.025210084033613446,0.04219409282700422,1.138245838299756
ours_middle10_reservoir2_deficitstaterankmotion1,9,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v167_state_conditioned_motion_moviebench16/full8/published_indexed/ours_middle10_reservoir2_deficitstaterankmotion1/000009-0_v167.mp4,477,239,16.0,29.8125,0.0838541195722207,0.08144986769732307,0.11335939332550647,0.1395686430089614,1.8507321148860354,1.6522361636161804,3.336655342578888,5.2001800537109375,0.6380772002135651,0.4103233814239502,2.0283774137496944,4.014315366744995,0.16522361636161806,1.0,0.0,0.0,1.4189778566360474,1.6978257894515991,0.8357617521491294,0.32825259257765643,0.32577576427530475,0.3637905736618972,0.3806584732710652,0.31218960019414504,0.32161368135772295,0.33090396388055476,0.3342011556180733,0.15053352581137622,0.14872782939189189,0.16874472128378376,0.18325063344594594,0.0,0.0,0.0,0.02092050209205021,1.3917689068171701,1.2276558632576287,0.03361344537815126,0.14345991561181434,1.3097123850373995
