layer,head,discovery_best,discovery_margin,coverage_gain,episode_gain,stability_frequency,supported_nonlocal,assigned_policy
0,0,recent,4.216926359303108,-4.216926359303108,-4.2643300945104805,1.0,False,recent
0,1,recent,4.8218289847044575,-4.823182995683411,-4.8218289847044575,1.0,False,recent
0,2,coverage,0.08959296870626376,0.31654781315015956,0.2269548444438958,1.0,False,recent
0,3,recent,0.048819439237968165,-0.048819439237968165,-0.0637474466190815,0.9166666666666666,False,recent
0,4,recent,2.7411720193477684,-2.7478264059290485,-2.7411720193477684,1.0,False,recent
0,5,recent,4.564019733674682,-4.581284450975495,-4.564019733674682,1.0,False,recent
0,6,recent,2.7603128330493742,-2.7603128330493742,-2.7620445568236835,1.0,False,recent
0,7,recent,3.719748740103748,-3.719748740103748,-3.7331024300993354,1.0,False,recent
0,8,coverage,0.009716181302639626,0.009716181302639626,-0.030420607572591685,0.5833333333333334,False,recent
0,9,coverage,0.24787594152875503,1.428204781106857,1.180328839578102,1.0,False,recent
0,10,coverage,0.7936617646189674,5.1003863593096215,4.306724594690654,1.0,True,coverage
0,11,recent,3.2936452284708118,-3.2936452284708118,-3.300600540004975,1.0,False,recent
1,0,recent,1.9057150861757322,-1.9057150861757322,-1.946462935326287,1.0,False,recent
1,1,recent,4.662008161899903,-4.824820494533753,-4.662008161899903,1.0,False,recent
1,2,recent,2.608701570109692,-2.608701570109692,-2.6332987427885675,1.0,False,recent
1,3,recent,1.353683522335869,-1.353683522335869,-1.4132585025421909,1.0,False,recent
1,4,recent,2.6599630134027183,-2.6599630134027183,-2.6665907048856967,1.0,False,recent
1,5,coverage,0.09541021126542715,0.09541021126542715,-0.092812552214939,1.0,False,recent
1,6,coverage,0.08045651142984944,0.08045651142984944,-0.08984641358108414,1.0,False,recent
1,7,recent,1.398460709356347,-1.4610876251759315,-1.398460709356347,1.0,False,recent
1,8,recent,3.2625067918286756,-3.3038598239611403,-3.2625067918286756,1.0,False,recent
1,9,recent,3.2104458719612623,-3.2104458719612623,-3.2395085829886296,1.0,False,recent
1,10,coverage,0.07049378745693069,0.6841635142525786,0.6136697267956479,1.0,False,recent
1,11,recent,2.524468976136676,-2.524468976136676,-2.5343030776710354,1.0,False,recent
2,0,recent,0.8261230826832189,-0.9103164499727492,-0.8261230826832189,1.0,False,recent
2,1,recent,0.8543552514555284,-0.8543552514555284,-0.891363203099877,1.0,False,recent
2,2,recent,1.8558817780116619,-1.9725762035344085,-1.8558817780116619,1.0,False,recent
2,3,recent,2.5279835419152814,-2.5330589643096726,-2.5279835419152814,1.0,False,recent
2,4,recent,11.571517803343028,-11.571517803343028,-11.573308965637834,1.0,False,recent
2,5,recent,0.4068133293776217,-0.4068133293776217,-0.44345263670051693,1.0,False,recent
2,6,coverage,0.07343269711372846,0.2612056832227436,0.18777298610901516,1.0,False,recent
2,7,recent,0.5926346721791074,-0.5926346721791074,-0.6431791721801439,1.0,False,recent
2,8,recent,1.4325402431601493,-1.4325402431601493,-1.4624385848033992,1.0,False,recent
2,9,recent,0.09591113112493543,-0.09591113112493543,-0.4200112354517538,0.9166666666666666,False,recent
2,10,episode,0.008313441343766215,-0.030077445946105286,0.008313441343766215,0.5,False,recent
2,11,recent,0.8781945032662613,-0.8885581827081985,-0.8781945032662613,1.0,False,recent
3,0,recent,4.203617232516688,-4.203617232516688,-4.211995994978455,1.0,False,recent
3,1,recent,2.147953210220548,-2.147953210220548,-2.210406576292694,1.0,False,recent
3,2,recent,2.7879475183616336,-2.886790321959154,-2.7879475183616336,1.0,False,recent
3,3,recent,0.09502547627608138,-0.1292755919750359,-0.09502547627608138,1.0,False,recent
3,4,recent,1.7152129748964349,-1.7230122302605473,-1.7152129748964349,1.0,False,recent
3,5,recent,2.1003090633516948,-2.183191675721087,-2.1003090633516948,1.0,False,recent
3,6,recent,1.0603574307941939,-1.142382497560698,-1.0603574307941939,1.0,False,recent
3,7,coverage,0.06417893804608887,0.11535113305086142,0.05117219500477255,1.0,False,recent
3,8,recent,1.7326212196082222,-1.7326212196082222,-1.7712615952058055,1.0,False,recent
3,9,recent,0.5666634789995504,-0.5843595679190976,-0.5666634789995504,1.0,False,recent
3,10,recent,0.46891807477214087,-0.46891807477214087,-0.49610448652339034,1.0,False,recent
3,11,recent,1.691961634977428,-1.691961634977428,-1.728125702469418,1.0,False,recent
4,0,recent,1.633697875045181,-1.633697875045181,-1.673244231255664,1.0,False,recent
4,1,recent,2.397756883503739,-2.516947423424969,-2.397756883503739,1.0,False,recent
4,2,recent,2.6627206582981717,-2.6695339118962416,-2.6627206582981717,1.0,False,recent
4,3,recent,2.6306402662933444,-2.6306402662933444,-2.6801638323553583,1.0,False,recent
4,4,recent,1.98007557025067,-1.98007557025067,-1.9900059325930712,1.0,False,recent
4,5,recent,0.9892750423369652,-0.9892750423369652,-1.0275308841062927,1.0,False,recent
4,6,recent,1.4659428521750963,-1.4659428521750963,-1.5660204587153759,1.0,False,recent
4,7,recent,1.6097871909962431,-1.6097871909962431,-1.612578170980143,1.0,False,recent
4,8,coverage,0.10424073147066615,0.5673110423251595,0.46307031085449335,1.0,False,recent
4,9,recent,0.33041577145801515,-0.33041577145801515,-0.46700006363463986,1.0,False,recent
4,10,recent,1.837276816288528,-1.837276816288528,-1.8560353827510587,1.0,False,recent
4,11,recent,1.137545634787399,-1.1800794313726826,-1.137545634787399,1.0,False,recent
5,0,recent,4.89726562774351,-4.89726562774351,-4.920100045142119,1.0,False,recent
5,1,recent,1.9087479743399296,-1.9087479743399296,-1.92863404627008,1.0,False,recent
5,2,recent,2.0805078571741475,-2.1062311872449726,-2.0805078571741475,1.0,False,recent
5,3,coverage,0.261359085506478,0.345028057019495,0.083668971513017,1.0,True,coverage
5,4,recent,1.27344510339055,-1.3094394687424238,-1.27344510339055,1.0,False,recent
5,5,recent,1.2714461981538854,-1.2714461981538854,-1.35494751258073,1.0,False,recent
5,6,recent,2.5090387396477087,-2.5090387396477087,-2.5277760927239363,1.0,False,recent
5,7,recent,2.256959979737184,-2.256959979737184,-2.2575230416249483,1.0,False,recent
5,8,coverage,0.06012419575078454,0.06012419575078454,-0.09762951336490833,1.0,False,recent
5,9,recent,5.279545874098824,-5.279545874098824,-5.318538705876945,1.0,False,recent
5,10,recent,1.2426631919405273,-1.2426631919405273,-1.3085030758335547,1.0,False,recent
5,11,recent,2.257998708079743,-2.268542879929612,-2.257998708079743,1.0,False,recent
6,0,recent,1.0192169994502889,-1.0374629765115975,-1.0192169994502889,1.0,False,recent
