layer,head,discovery_best,discovery_margin,coverage_gain,episode_gain,stability_frequency,supported_nonlocal,assigned_policy
0,0,recent,4.064959105239021,-4.064959105239021,-4.10509855038107,1.0,False,recent
0,1,recent,4.723062579854149,-4.726323890691181,-4.723062579854149,1.0,False,recent
0,2,coverage,0.044490149455739925,0.23399235755676973,0.1895022081010298,0.8333333333333334,False,recent
0,3,recent,0.10838235108888217,-0.1337509159592405,-0.10838235108888217,1.0,False,recent
0,4,recent,2.763291292995289,-2.763291292995289,-2.7762761118145303,1.0,False,recent
0,5,recent,4.59039685915333,-4.59039685915333,-4.600873943688271,1.0,False,recent
0,6,recent,2.761063067911822,-2.761063067911822,-2.7784029972369133,1.0,False,recent
0,7,recent,3.662086966183705,-3.662086966183705,-3.6713691576876464,1.0,False,recent
0,8,recent,0.0621088822643161,-0.0621088822643161,-0.06623047997624143,1.0,False,recent
0,9,coverage,0.17086593605640443,1.3106000356934147,1.1397340996370102,1.0,False,recent
0,10,coverage,0.9625378597329717,4.78279938162864,3.820261521895668,1.0,True,coverage
0,11,recent,3.321516952845263,-3.321516952845263,-3.3339740999701704,1.0,False,recent
1,0,recent,1.8572294305440025,-1.8572294305440025,-1.8962185942350382,1.0,False,recent
1,1,recent,4.647265593264379,-4.711246757981916,-4.647265593264379,1.0,False,recent
1,2,recent,2.5257446297261374,-2.5257446297261374,-2.5466607653054734,1.0,False,recent
1,3,recent,1.2996922571665257,-1.2996922571665257,-1.352162319382014,1.0,False,recent
1,4,recent,2.666700450467941,-2.6675653125837524,-2.666700450467941,1.0,False,recent
1,5,coverage,0.04564552423810797,0.04564552423810797,-0.10006815373864963,1.0,False,recent
1,6,coverage,0.04155366215205447,0.04155366215205447,-0.10647554558356909,0.6666666666666666,False,recent
1,7,recent,1.307732517136797,-1.4012994053534826,-1.307732517136797,1.0,False,recent
1,8,recent,3.3015439591443396,-3.3029665483459087,-3.3015439591443396,1.0,False,recent
1,9,recent,3.1012140805656054,-3.1012140805656054,-3.127731620256731,1.0,False,recent
1,10,episode,0.02068478267099927,0.5644154807718649,0.5851002634428641,0.5833333333333334,False,recent
1,11,recent,2.4154442678061283,-2.4154442678061283,-2.4267492619169664,1.0,False,recent
2,0,recent,0.7946397543716768,-0.892514957642915,-0.7946397543716768,1.0,False,recent
2,1,recent,0.8116251099119673,-0.8116251099119673,-0.8435546628585073,1.0,False,recent
2,2,recent,1.875415843856338,-2.0171208591361154,-1.875415843856338,1.0,False,recent
2,3,recent,2.5090898641015844,-2.5090898641015844,-2.5121422186469253,1.0,False,recent
2,4,recent,11.53955448664065,-11.53955448664065,-11.555781671401823,1.0,False,recent
2,5,recent,0.36679127163026326,-0.36679127163026326,-0.4075605103599331,1.0,False,recent
2,6,coverage,0.043017829713646094,0.19870767878737672,0.15568984907373062,1.0,False,recent
2,7,recent,0.5730851843132321,-0.5730851843132321,-0.6186796829228722,1.0,False,recent
2,8,recent,1.4065653041999973,-1.4065653041999973,-1.4370517282153425,1.0,False,recent
2,9,recent,0.08100955953231459,-0.08100955953231459,-0.4492531133796711,0.75,False,recent
2,10,recent,0.010505548735972425,-0.010505548735972425,-0.03846673553546154,0.5833333333333334,False,recent
2,11,recent,0.843102078660511,-0.8610197106952553,-0.843102078660511,1.0,False,recent
3,0,recent,4.016557031035685,-4.030499852062942,-4.016557031035685,1.0,False,recent
3,1,recent,2.074119849732548,-2.074119849732548,-2.135356086170545,1.0,False,recent
3,2,recent,2.736100380851239,-2.7978639103131187,-2.736100380851239,1.0,False,recent
3,3,recent,0.06625179637626077,-0.11964171735419349,-0.06625179637626077,1.0,False,recent
3,4,recent,1.6919115434563317,-1.6919115434563317,-1.7022342273624371,1.0,False,recent
3,5,recent,2.081652167590008,-2.189068624690198,-2.081652167590008,1.0,False,recent
3,6,recent,1.0377132077317923,-1.1608781472402994,-1.0377132077317923,1.0,False,recent
3,7,coverage,0.053566882084476575,0.08964212543314076,0.03607524334866419,1.0,False,recent
3,8,recent,1.6744738259524565,-1.6744738259524565,-1.707776508009312,1.0,False,recent
3,9,recent,0.5048973993838297,-0.5428292305878664,-0.5048973993838297,1.0,False,recent
3,10,recent,0.49812273806549756,-0.5063165644358634,-0.49812273806549756,1.0,False,recent
3,11,recent,1.6656776539471148,-1.6656776539471148,-1.6888988899188053,1.0,False,recent
4,0,recent,1.6032257935444072,-1.6032257935444072,-1.6293929273643162,1.0,False,recent
4,1,recent,2.3787167738507256,-2.5216111333254827,-2.3787167738507256,1.0,False,recent
4,2,recent,2.59490238670087,-2.606058314141987,-2.59490238670087,1.0,False,recent
4,3,recent,2.553109622036188,-2.553109622036188,-2.5968839808547495,1.0,False,recent
4,4,recent,1.9306613761891658,-1.9306613761891658,-1.9415303493830232,1.0,False,recent
4,5,recent,0.9411463554573327,-0.9411463554573327,-0.9567846509116347,1.0,False,recent
4,6,recent,1.4592260731268052,-1.4592260731268052,-1.5508886678777292,1.0,False,recent
4,7,recent,1.5630279026256497,-1.5653348860889027,-1.5630279026256497,1.0,False,recent
4,8,coverage,0.0791204328894608,0.5129458487368121,0.43382541584735135,1.0,False,recent
4,9,recent,0.2721832896048433,-0.2721832896048433,-0.4290584085242033,1.0,False,recent
4,10,recent,1.786114227569886,-1.786114227569886,-1.7949468288046178,1.0,False,recent
4,11,recent,1.0756325987458961,-1.1282106521451585,-1.0756325987458961,1.0,False,recent
5,0,recent,4.850438946287259,-4.850438946287259,-4.870053300739396,1.0,False,recent
5,1,recent,1.845287984072609,-1.845287984072609,-1.8681780039163822,1.0,False,recent
5,2,recent,2.067915761189923,-2.067915761189923,-2.0766337533036463,1.0,False,recent
5,3,coverage,0.24189156667917944,0.30975694516233476,0.06786537848315533,1.0,True,coverage
5,4,recent,1.30981857153618,-1.30981857153618,-1.3226240033123897,1.0,False,recent
5,5,recent,1.2121587588049585,-1.2121587588049585,-1.2785581229919822,1.0,False,recent
5,6,recent,2.42837110185393,-2.42837110185393,-2.44527986542818,1.0,False,recent
5,7,recent,2.2012725789560936,-2.211171794412698,-2.2012725789560936,1.0,False,recent
5,8,coverage,0.014161842642617106,0.014161842642617106,-0.11595768435471276,0.5833333333333334,False,recent
5,9,recent,5.232732498307733,-5.232732498307733,-5.279266107975481,1.0,False,recent
5,10,recent,1.2402663424748106,-1.2402663424748106,-1.2433477489477993,1.0,False,recent
5,11,recent,2.227768440306173,-2.2460150253816806,-2.227768440306173,1.0,False,recent
6,0,recent,0.9686139855972442,-1.0062828695510193,-0.9686139855972442,1.0,False,recent
6,1,recent,0.840316230966824,-0.840316230966824,-0.9311831472792531,1.0,False,recent
6,2,recent,1.6061867637161322,-1.6361250852678202,-1.6061867637161322,1.0,False,recent
6,3,recent,0.34603065365023333,-0.34603065365023333,-0.4149434007383408,1.0,False,recent
6,4,recent,1.5171150964737445,-1.5923697609716458,-1.5171150964737445,1.0,False,recent
6,5,recent,0.2612627854496554,-0.2612627854496554,-0.3005358499427735,1.0,False,recent
6,6,coverage,0.214740975815082,0.214740975815082,-0.08414793964564993,1.0,True,coverage
6,7,recent,0.25115258849032696,-0.34303668606613424,-0.25115258849032696,1.0,False,recent
6,8,recent,0.7169762537483941,-0.7909947545738949,-0.7169762537483941,1.0,False,recent
6,9,recent,0.9959059934640582,-0.9959059934640582,-1.0030312274764208,1.0,False,recent
6,10,recent,0.8706782710864842,-0.9320214220890444,-0.8706782710864842,1.0,False,recent
6,11,recent,0.12892829519239868,-0.1699137406341471,-0.12892829519239868,0.9166666666666666,False,recent
7,0,recent,2.1825550651521244,-2.200860846792267,-2.1825550651521244,1.0,False,recent
7,1,recent,3.4007013393960506,-3.4007013393960506,-3.4198628758637413,1.0,False,recent
7,2,recent,0.7718370680758477,-0.7718370680758477,-0.8198713862967066,1.0,False,recent
7,3,recent,2.1592382416462925,-2.1592382416462925,-2.1779093703331576,1.0,False,recent
7,4,recent,2.375777517094903,-2.375777517094903,-2.3779886066803986,1.0,False,recent
7,5,recent,1.3411417207914016,-1.464008992609957,-1.3411417207914016,1.0,False,recent
7,6,recent,1.4434131154082226,-1.4434131154082226,-1.5614875325080182,1.0,False,recent
7,7,recent,4.351362051800379,-4.351362051800379,-4.358574696125878,1.0,False,recent
7,8,recent,3.4907652789637407,-3.5406703604550973,-3.4907652789637407,1.0,False,recent
7,9,recent,1.7116658707446821,-1.781342031732854,-1.7116658707446821,1.0,False,recent
7,10,recent,0.3168302898918407,-0.3317305233742629,-0.3168302898918407,1.0,False,recent
7,11,recent,1.5553590356221685,-1.637396631091542,-1.5553590356221685,1.0,False,recent
8,0,recent,3.38025923872695,-3.386129411199029,-3.38025923872695,1.0,False,recent
8,1,recent,5.009527636437418,-5.021923309583961,-5.009527636437418,1.0,False,recent
