operator,position_index,current_frame,discovery_mean_gain,validation_mean_gain,discovery_full_budget_fraction,validation_full_budget_fraction,discovery_reference_energy,validation_reference_energy
landmark,0,12,-2.4277254117667924,-2.438144457008065,0.0010416666666666667,0.0,22630.062218520376,21974.306937003137
landmark,1,21,-3.731502384993224,-3.6864532700832475,0.0203125,0.022916666666666665,22572.65973837475,22221.83864365816
landmark,2,30,-3.6448418229422828,-3.6165204134532156,0.049479166666666664,0.057291666666666664,22560.971407632034,22240.69956616693
landmark,3,39,-3.607772600944341,-3.663896052141801,0.071875,0.07291666666666667,22619.082045396168,22216.148065744506
landmark,4,48,-3.608098739031207,-3.614670566781155,0.0890625,0.09166666666666666,22447.219373483127,22275.46811807553
landmark,5,57,-3.6351374715742533,-3.5636548783720494,0.10677083333333333,0.10833333333333334,22634.6966809637,22271.923864403037
landmark,6,66,-3.640479667707873,-3.5706796614918006,0.12395833333333334,0.121875,22547.35613819758,22245.07451943424
landmark,7,75,-3.63755459476316,-3.5594566921194155,0.14322916666666666,0.1375,22627.721383880908,22613.715347136393
landmark,8,84,-3.6211975217454766,-3.488633895598262,0.1578125,0.15833333333333333,22689.5291458918,22479.750909749666
landmark,9,93,-3.632199999122545,-3.5128093276580086,0.17447916666666666,0.1625,22808.607079093985,22419.773393613763
landmark,10,102,-3.6151141744713526,-3.5059898213668372,0.18385416666666668,0.17083333333333334,22814.475858397615,22652.556788143847
landmark,11,111,-3.582460068195789,-3.5299454579465026,0.19635416666666666,0.18125,22900.143921471965,22833.090927109453
retrieval,0,12,-0.9887355427220813,-1.025716004634225,0.0234375,0.011458333333333333,22614.51228178872,21952.811310006513
retrieval,1,21,-1.9350105254111971,-1.9555204556198293,1.0,1.0,22653.129282640748,22305.381005285846
retrieval,2,30,-1.9416218929631437,-1.9416271415078648,1.0,1.0,22680.324412854512,22371.593093530337
retrieval,3,39,-1.9627001330167748,-1.9862468953818826,1.0,1.0,22728.102641845413,22321.79503523376
retrieval,4,48,-2.0347052582489584,-2.079598069035861,1.0,1.0,22499.46751811173,22345.12801785734
retrieval,5,57,-2.1167033882121644,-2.10967986304198,1.0,1.0,22653.034625364675,22307.412063328426
retrieval,6,66,-2.1466875287425013,-2.124704343209969,1.0,1.0,22546.444525696836,22276.44104713334
retrieval,7,75,-2.1955657585893795,-2.1931900150361088,1.0,1.0,22621.74699058864,22626.367667137252
retrieval,8,84,-2.1987904566716066,-2.1519258871140403,1.0,1.0,22673.94593376716,22494.65325672759
retrieval,9,93,-2.2264470317185876,-2.193250750790343,1.0,1.0,22789.64148045977,22414.59915035963
retrieval,10,102,-2.2628212081036114,-2.1971072874052484,1.0,1.0,22783.51591736674,22639.663445703187
retrieval,11,111,-2.2577018888672384,-2.283222681433431,1.0,1.0,22865.51505057282,22802.61903722551
