method,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,overall_consistency,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style
sf_native,0.9733782512619322,0.9639306931014775,0.974524616235805,0.9840224554562348,0.23071310999803246,1.0,0.6124523235484958,0.7065027340476712,0.23071310999803246
landmark_all_recent,0.975943617768772,0.9651170554083008,0.9656168063043377,0.981177353776027,0.24097512695007026,1.0,0.6269502085323135,0.7107864455096424,0.24097512695007026
landmark_all_coverage,0.9723944685690786,0.9631075643651525,0.9615664676630412,0.9787083951283754,0.2411125785826395,1.0,0.6279322195177277,0.7036486068926752,0.2411125785826395
landmark_static_top10,0.9748508135762888,0.9642481706776873,0.9640053911974618,0.9793444383430887,0.2428586607798934,1.0,0.6188330516219139,0.7104885958048205,0.2428586607798934
landmark_horizon_top10,0.974742909668189,0.9643938093585247,0.9624007273957229,0.979176643764282,0.23916032028306897,1.0,0.6215988842149576,0.707757963642478,0.23916032028306897
landmark_horizon_shift_top10,0.9748699899238762,0.9639809634787436,0.9624559416193393,0.9788616567622028,0.23956636395305395,1.0,0.6216737953325112,0.7099438731484115,0.23956636395305395
retrieval_all_recent,0.9760400299487599,0.9652776252488731,0.9656156586183641,0.9811811002465063,0.24099540198221803,1.0,0.6271576930458347,0.7108017060173054,0.24099540198221803
retrieval_all_coverage,0.9727412494574673,0.9621826154266786,0.9613717258872546,0.978093054604505,0.23684222543767344,1.0,0.6296913617600998,0.6994756123634676,0.23684222543767344
retrieval_static_top10,0.9752709513131558,0.9644867115814816,0.9660523328452916,0.9811789345409998,0.24038076795016725,1.0,0.6203536250938971,0.7131985853823523,0.24038076795016725
retrieval_horizon_top10,0.9763549281083548,0.9650230046237159,0.9654861395898598,0.980778071445267,0.23905778331682087,1.0,0.6241649009287358,0.7134967953301967,0.23905778331682087
retrieval_horizon_shift_top10,0.9758484191572177,0.9647203624008056,0.9656694513077243,0.9809842686765607,0.23924315772019328,1.0,0.6196757534518837,0.713670001808554,0.23924315772019328
