method,prompt_index,sample_index,video,decoded_frames,retained_frames,flow_transition_count,fps,duration_seconds,frame_step,sample_interval_seconds,analysis_width,analysis_height,raw_motion_ndps_median,global_motion_ndps_median,residual_motion_ndps_median,residual_motion_p90_ndps_median,residual_transition_active_fraction,residual_active_area_fraction_mean,late_residual_motion_ratio,longest_low_residual_run_fraction,residual_accel_outlier_fraction,camera_motion_fraction_median,camera_fit_valid_fraction,camera_fit_inlier_fraction_median,camera_fit_error_nd_median,residual_energy_concentration_mean,residual_direction_entropy_mean
landmark_all_coverage,3,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_coverage/000003-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.007082228255071692,0.006738776248005477,0.0023545246083974646,0.006115542576952883,0.06779661016949153,0.03180873869102153,1.1673065597145227,0.11864406779661017,0.034482758620689655,0.7177815379315349,1.0,0.9473684210526315,0.001215969156501973,0.5382643881768884,0.3548272958093949
landmark_all_coverage,7,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_coverage/000007-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.006348715058418619,0.006530629873503738,0.008840847808221204,0.046211066722770484,0.9661016949152542,0.5072148419606046,0.9213115690245236,0.0,0.0,0.41225344811480324,1.0,0.8355263157894737,0.004261235930400198,0.5960760391085682,0.715320804600607
landmark_all_coverage,11,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_coverage/000011-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.03205267455728538,0.021079363664094214,0.022051166974825582,0.05223696450709687,1.0,0.7810375093048558,1.000900196998353,0.0,0.034482758620689655,0.49996416023009765,1.0,0.9736842105263158,0.010837399172309034,0.44536614967623955,0.7745557343499249
landmark_all_coverage,15,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_coverage/000015-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.033496755613413615,0.02278644123901253,0.024852452895893398,0.055806620090667024,1.0,0.8696461291800274,1.2384203497229391,0.0,0.034482758620689655,0.49129065463281074,1.0,0.9720394736842105,0.012491125342198473,0.42235551005847316,0.7959786604512605
landmark_all_coverage,19,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_coverage/000019-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.009662619962028704,0.009084327761455086,0.010412194432804427,0.05665622808794066,1.0,0.529979529317453,0.755398507161397,0.0,0.0,0.46648912118795305,1.0,0.850328947368421,0.005230723434539403,0.6788723844974283,0.6489220307693249
landmark_all_coverage,23,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_coverage/000023-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.03596580948595551,0.02250551281749772,0.028798133134964307,0.061848561281784786,1.0,0.8948519991124599,0.9877632595832795,0.0,0.034482758620689655,0.4180561327482089,1.0,0.9786184210526315,0.014789882671785309,0.4121130556061159,0.8388534880812013
landmark_all_coverage,27,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_coverage/000027-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.011438662101217115,0.008383025345480369,0.004831795367557772,0.011040528944516433,0.559322033898305,0.13358104529317452,1.8287721519694355,0.01694915254237288,0.05172413793103448,0.619592104413983,1.0,0.975328947368421,0.0024541660449516646,0.43295014931808207,0.45960800864870416
landmark_all_coverage,31,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_coverage/000031-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.013330024325412953,0.008972494989359113,0.011208206262192771,0.037339611528566456,1.0,0.5481065513341731,0.8405964327472648,0.0,0.017241379310344827,0.4493246425381718,1.0,0.899671052631579,0.0056357535732949795,0.7254220720719198,0.8208218537773262
landmark_all_recent,3,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_recent/000003-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0007883566805774623,0.0008156916738863425,0.0009258819217916514,0.002853349801633378,0.0,0.019553170092762254,2.051587458036904,0.3050847457627119,0.017241379310344827,0.4774246436008381,1.0,0.912828947368421,0.00044540122329575363,0.6471057096173275,0.1084101291707694
landmark_all_recent,7,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/landmark_all_recent/000007-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0025741592872575133,0.0033778333970506383,0.004763642499985885,0.03508117122861862,0.9830508474576272,0.3695687378321118,0.759076486901223,0.0,0.06896551724137931,0.3948547725765098,1.0,0.8108552631578947,0.002289962795904558,0.6803115230805521,0.6687251214796721
