left,right,label_agreement,responsive_jaccard
prompt_tau_0,prompt_tau_0p5,0.8027777777777778,0.6055555555555555
prompt_tau_0,prompt_tau_1,0.6888888888888889,0.37777777777777777
prompt_tau_0,prompt_tau_1p5,0.6416666666666667,0.2833333333333333
prompt_tau_0,prompt_tau_2,0.6,0.2
prompt_tau_0,prompt_gmm2,0.6055555555555555,0.2111111111111111
prompt_tau_0,prompt_otsu,0.6,0.2
prompt_tau_0,prompt_tau_1_random,0.5166666666666667,0.17535545023696683
prompt_tau_0,prompt_tau_1_reversed,0.3111111111111111,0.0
prompt_tau_0,sign_rpos_0p5,0.5166666666666667,0.14705882352941177
prompt_tau_0,pf_anchor_vs_rest,0.5055555555555555,0.34798534798534797
prompt_tau_0,pf_anchor_wave_vs_veil,0.4888888888888889,0.0707070707070707
prompt_tau_0p5,prompt_tau_1,0.8861111111111111,0.6238532110091743
prompt_tau_0p5,prompt_tau_1p5,0.8388888888888889,0.46788990825688076
prompt_tau_0p5,prompt_tau_2,0.7972222222222223,0.3302752293577982
prompt_tau_0p5,prompt_gmm2,0.8027777777777778,0.3486238532110092
prompt_tau_0p5,prompt_otsu,0.7972222222222223,0.3302752293577982
prompt_tau_0p5,prompt_tau_1_random,0.6416666666666667,0.1568627450980392
prompt_tau_0p5,prompt_tau_1_reversed,0.5083333333333333,0.0
prompt_tau_0p5,sign_rpos_0p5,0.6916666666666667,0.1897810218978102
prompt_tau_0p5,pf_anchor_vs_rest,0.49166666666666664,0.2375
prompt_tau_0p5,pf_anchor_wave_vs_veil,0.6805555555555556,0.1015625
prompt_tau_1,prompt_tau_1p5,0.9527777777777777,0.75
prompt_tau_1,prompt_tau_2,0.9111111111111111,0.5294117647058824
prompt_tau_1,prompt_gmm2,0.9166666666666666,0.5588235294117647
prompt_tau_1,prompt_otsu,0.9111111111111111,0.5294117647058824
prompt_tau_1,prompt_tau_1_random,0.7055555555555556,0.12396694214876033
prompt_tau_1,prompt_tau_1_reversed,0.6222222222222222,0.0
prompt_tau_1,sign_rpos_0p5,0.7833333333333333,0.22
prompt_tau_1,pf_anchor_vs_rest,0.4888888888888889,0.16363636363636364
prompt_tau_1,pf_anchor_wave_vs_veil,0.7777777777777778,0.1111111111111111
prompt_tau_1p5,prompt_tau_2,0.9583333333333334,0.7058823529411765
prompt_tau_1p5,prompt_gmm2,0.9638888888888889,0.7450980392156863
prompt_tau_1p5,prompt_otsu,0.9583333333333334,0.7058823529411765
prompt_tau_1p5,prompt_tau_1_random,0.7361111111111112,0.11214953271028037
prompt_tau_1p5,prompt_tau_1_reversed,0.6694444444444444,0.0
prompt_tau_1p5,sign_rpos_0p5,0.8138888888888889,0.22093023255813954
prompt_tau_1p5,pf_anchor_vs_rest,0.5027777777777778,0.14354066985645933
prompt_tau_1p5,pf_anchor_wave_vs_veil,0.8083333333333333,0.09210526315789473
prompt_tau_2,prompt_gmm2,0.9944444444444445,0.9473684210526315
prompt_tau_2,prompt_otsu,1.0,1.0
prompt_tau_2,prompt_tau_1_random,0.7666666666666667,0.10638297872340426
prompt_tau_2,prompt_tau_1_reversed,0.7111111111111111,0.0
prompt_tau_2,sign_rpos_0p5,0.8277777777777777,0.18421052631578946
prompt_tau_2,pf_anchor_vs_rest,0.5055555555555555,0.11442786069651742
prompt_tau_2,pf_anchor_wave_vs_veil,0.8444444444444444,0.0967741935483871
prompt_gmm2,prompt_otsu,0.9944444444444445,0.9473684210526315
prompt_gmm2,prompt_tau_1_random,0.7666666666666667,0.11578947368421053
prompt_gmm2,prompt_tau_1_reversed,0.7055555555555556,0.0
prompt_gmm2,sign_rpos_0p5,0.8222222222222222,0.1794871794871795
prompt_gmm2,pf_anchor_vs_rest,0.5055555555555555,0.1188118811881188
prompt_gmm2,pf_anchor_wave_vs_veil,0.8388888888888889,0.09375
prompt_otsu,prompt_tau_1_random,0.7666666666666667,0.10638297872340426
prompt_otsu,prompt_tau_1_reversed,0.7111111111111111,0.0
prompt_otsu,sign_rpos_0p5,0.8277777777777777,0.18421052631578946
prompt_otsu,pf_anchor_vs_rest,0.5055555555555555,0.11442786069651742
prompt_otsu,pf_anchor_wave_vs_veil,0.8444444444444444,0.0967741935483871
prompt_tau_1_random,prompt_tau_1_reversed,0.7,0.11475409836065574
prompt_tau_1_random,sign_rpos_0p5,0.7055555555555556,0.07017543859649122
prompt_tau_1_random,pf_anchor_vs_rest,0.49444444444444446,0.1689497716894977
prompt_tau_1_random,pf_anchor_wave_vs_veil,0.7555555555555555,0.06382978723404255
prompt_tau_1_reversed,sign_rpos_0p5,0.7166666666666667,0.08928571428571429
prompt_tau_1_reversed,pf_anchor_vs_rest,0.4722222222222222,0.14798206278026907
prompt_tau_1_reversed,pf_anchor_wave_vs_veil,0.7777777777777778,0.1111111111111111
sign_rpos_0p5,pf_anchor_vs_rest,0.6111111111111112,0.2670157068062827
sign_rpos_0p5,pf_anchor_wave_vs_veil,0.9222222222222223,0.5087719298245614
pf_anchor_vs_rest,pf_anchor_wave_vs_veil,0.5666666666666667,0.1702127659574468
