prompt_index,label,identity_1_to_5,background_1_to_5,motion_1_to_5,camera_1_to_5,artifact_1_to_5,prompt_alignment_1_to_5,startup_flashback_0_or_1,abrupt_jump_0_or_1,overall_rank,failure_time_seconds,notes
0,A,,,,,,,,,,,
0,B,,,,,,,,,,,
0,C,,,,,,,,,,,
0,D,,,,,,,,,,,
0,E,,,,,,,,,,,
0,F,,,,,,,,,,,
0,G,,,,,,,,,,,
0,H,,,,,,,,,,,
0,I,,,,,,,,,,,
0,J,,,,,,,,,,,
0,K,,,,,,,,,,,
0,L,,,,,,,,,,,
0,M,,,,,,,,,,,
0,N,,,,,,,,,,,
0,O,,,,,,,,,,,
0,P,,,,,,,,,,,
1,A,,,,,,,,,,,
1,B,,,,,,,,,,,
1,C,,,,,,,,,,,
1,D,,,,,,,,,,,
1,E,,,,,,,,,,,
1,F,,,,,,,,,,,
1,G,,,,,,,,,,,
1,H,,,,,,,,,,,
1,I,,,,,,,,,,,
1,J,,,,,,,,,,,
1,K,,,,,,,,,,,
1,L,,,,,,,,,,,
1,M,,,,,,,,,,,
1,N,,,,,,,,,,,
1,O,,,,,,,,,,,
1,P,,,,,,,,,,,
2,A,,,,,,,,,,,
2,B,,,,,,,,,,,
2,C,,,,,,,,,,,
2,D,,,,,,,,,,,
2,E,,,,,,,,,,,
2,F,,,,,,,,,,,
2,G,,,,,,,,,,,
2,H,,,,,,,,,,,
2,I,,,,,,,,,,,
2,J,,,,,,,,,,,
2,K,,,,,,,,,,,
2,L,,,,,,,,,,,
2,M,,,,,,,,,,,
2,N,,,,,,,,,,,
2,O,,,,,,,,,,,
2,P,,,,,,,,,,,
3,A,,,,,,,,,,,
3,B,,,,,,,,,,,
3,C,,,,,,,,,,,
3,D,,,,,,,,,,,
3,E,,,,,,,,,,,
3,F,,,,,,,,,,,
3,G,,,,,,,,,,,
3,H,,,,,,,,,,,
3,I,,,,,,,,,,,
3,J,,,,,,,,,,,
3,K,,,,,,,,,,,
3,L,,,,,,,,,,,
3,M,,,,,,,,,,,
3,N,,,,,,,,,,,
3,O,,,,,,,,,,,
3,P,,,,,,,,,,,
4,A,,,,,,,,,,,
4,B,,,,,,,,,,,
4,C,,,,,,,,,,,
4,D,,,,,,,,,,,
4,E,,,,,,,,,,,
4,F,,,,,,,,,,,
4,G,,,,,,,,,,,
4,H,,,,,,,,,,,
4,I,,,,,,,,,,,
4,J,,,,,,,,,,,
4,K,,,,,,,,,,,
4,L,,,,,,,,,,,
4,M,,,,,,,,,,,
4,N,,,,,,,,,,,
4,O,,,,,,,,,,,
4,P,,,,,,,,,,,
5,A,,,,,,,,,,,
5,B,,,,,,,,,,,
5,C,,,,,,,,,,,
5,D,,,,,,,,,,,
5,E,,,,,,,,,,,
5,F,,,,,,,,,,,
5,G,,,,,,,,,,,
5,H,,,,,,,,,,,
5,I,,,,,,,,,,,
5,J,,,,,,,,,,,
5,K,,,,,,,,,,,
5,L,,,,,,,,,,,
5,M,,,,,,,,,,,
5,N,,,,,,,,,,,
5,O,,,,,,,,,,,
5,P,,,,,,,,,,,
6,A,,,,,,,,,,,
6,B,,,,,,,,,,,
6,C,,,,,,,,,,,
6,D,,,,,,,,,,,
6,E,,,,,,,,,,,
6,F,,,,,,,,,,,
6,G,,,,,,,,,,,
6,H,,,,,,,,,,,
6,I,,,,,,,,,,,
6,J,,,,,,,,,,,
6,K,,,,,,,,,,,
6,L,,,,,,,,,,,
6,M,,,,,,,,,,,
6,N,,,,,,,,,,,
6,O,,,,,,,,,,,
6,P,,,,,,,,,,,
7,A,,,,,,,,,,,
7,B,,,,,,,,,,,
7,C,,,,,,,,,,,
7,D,,,,,,,,,,,
7,E,,,,,,,,,,,
7,F,,,,,,,,,,,
7,G,,,,,,,,,,,
7,H,,,,,,,,,,,
7,I,,,,,,,,,,,
7,J,,,,,,,,,,,
7,K,,,,,,,,,,,
7,L,,,,,,,,,,,
7,M,,,,,,,,,,,
7,N,,,,,,,,,,,
7,O,,,,,,,,,,,
7,P,,,,,,,,,,,
8,A,,,,,,,,,,,
8,B,,,,,,,,,,,
8,C,,,,,,,,,,,
8,D,,,,,,,,,,,
8,E,,,,,,,,,,,
8,F,,,,,,,,,,,
8,G,,,,,,,,,,,
8,H,,,,,,,,,,,
8,I,,,,,,,,,,,
8,J,,,,,,,,,,,
8,K,,,,,,,,,,,
8,L,,,,,,,,,,,
8,M,,,,,,,,,,,
8,N,,,,,,,,,,,
8,O,,,,,,,,,,,
8,P,,,,,,,,,,,
9,A,,,,,,,,,,,
9,B,,,,,,,,,,,
9,C,,,,,,,,,,,
9,D,,,,,,,,,,,
9,E,,,,,,,,,,,
9,F,,,,,,,,,,,
9,G,,,,,,,,,,,
9,H,,,,,,,,,,,
9,I,,,,,,,,,,,
9,J,,,,,,,,,,,
9,K,,,,,,,,,,,
9,L,,,,,,,,,,,
9,M,,,,,,,,,,,
9,N,,,,,,,,,,,
9,O,,,,,,,,,,,
9,P,,,,,,,,,,,
10,A,,,,,,,,,,,
10,B,,,,,,,,,,,
10,C,,,,,,,,,,,
10,D,,,,,,,,,,,
10,E,,,,,,,,,,,
10,F,,,,,,,,,,,
10,G,,,,,,,,,,,
10,H,,,,,,,,,,,
10,I,,,,,,,,,,,
10,J,,,,,,,,,,,
10,K,,,,,,,,,,,
10,L,,,,,,,,,,,
10,M,,,,,,,,,,,
10,N,,,,,,,,,,,
10,O,,,,,,,,,,,
10,P,,,,,,,,,,,
11,A,,,,,,,,,,,
11,B,,,,,,,,,,,
11,C,,,,,,,,,,,
11,D,,,,,,,,,,,
11,E,,,,,,,,,,,
11,F,,,,,,,,,,,
11,G,,,,,,,,,,,
11,H,,,,,,,,,,,
11,I,,,,,,,,,,,
11,J,,,,,,,,,,,
11,K,,,,,,,,,,,
11,L,,,,,,,,,,,
11,M,,,,,,,,,,,
11,N,,,,,,,,,,,
11,O,,,,,,,,,,,
11,P,,,,,,,,,,,
12,A,,,,,,,,,,,
12,B,,,,,,,,,,,
12,C,,,,,,,,,,,
12,D,,,,,,,,,,,
12,E,,,,,,,,,,,
12,F,,,,,,,,,,,
12,G,,,,,,,,,,,
12,H,,,,,,,,,,,
12,I,,,,,,,,,,,
12,J,,,,,,,,,,,
12,K,,,,,,,,,,,
12,L,,,,,,,,,,,
12,M,,,,,,,,,,,
12,N,,,,,,,,,,,
12,O,,,,,,,,,,,
12,P,,,,,,,,,,,
13,A,,,,,,,,,,,
13,B,,,,,,,,,,,
13,C,,,,,,,,,,,
13,D,,,,,,,,,,,
13,E,,,,,,,,,,,
13,F,,,,,,,,,,,
13,G,,,,,,,,,,,
13,H,,,,,,,,,,,
13,I,,,,,,,,,,,
13,J,,,,,,,,,,,
13,K,,,,,,,,,,,
13,L,,,,,,,,,,,
13,M,,,,,,,,,,,
13,N,,,,,,,,,,,
13,O,,,,,,,,,,,
13,P,,,,,,,,,,,
14,A,,,,,,,,,,,
14,B,,,,,,,,,,,
14,C,,,,,,,,,,,
14,D,,,,,,,,,,,
14,E,,,,,,,,,,,
14,F,,,,,,,,,,,
14,G,,,,,,,,,,,
14,H,,,,,,,,,,,
14,I,,,,,,,,,,,
14,J,,,,,,,,,,,
14,K,,,,,,,,,,,
14,L,,,,,,,,,,,
14,M,,,,,,,,,,,
14,N,,,,,,,,,,,
14,O,,,,,,,,,,,
14,P,,,,,,,,,,,
15,A,,,,,,,,,,,
15,B,,,,,,,,,,,
15,C,,,,,,,,,,,
15,D,,,,,,,,,,,
15,E,,,,,,,,,,,
15,F,,,,,,,,,,,
15,G,,,,,,,,,,,
15,H,,,,,,,,,,,
15,I,,,,,,,,,,,
15,J,,,,,,,,,,,
15,K,,,,,,,,,,,
15,L,,,,,,,,,,,
15,M,,,,,,,,,,,
15,N,,,,,,,,,,,
15,O,,,,,,,,,,,
15,P,,,,,,,,,,,
16,A,,,,,,,,,,,
16,B,,,,,,,,,,,
16,C,,,,,,,,,,,
16,D,,,,,,,,,,,
16,E,,,,,,,,,,,
16,F,,,,,,,,,,,
16,G,,,,,,,,,,,
16,H,,,,,,,,,,,
16,I,,,,,,,,,,,
16,J,,,,,,,,,,,
16,K,,,,,,,,,,,
16,L,,,,,,,,,,,
16,M,,,,,,,,,,,
16,N,,,,,,,,,,,
16,O,,,,,,,,,,,
16,P,,,,,,,,,,,
17,A,,,,,,,,,,,
17,B,,,,,,,,,,,
17,C,,,,,,,,,,,
17,D,,,,,,,,,,,
17,E,,,,,,,,,,,
17,F,,,,,,,,,,,
17,G,,,,,,,,,,,
17,H,,,,,,,,,,,
17,I,,,,,,,,,,,
17,J,,,,,,,,,,,
17,K,,,,,,,,,,,
17,L,,,,,,,,,,,
17,M,,,,,,,,,,,
17,N,,,,,,,,,,,
17,O,,,,,,,,,,,
17,P,,,,,,,,,,,
18,A,,,,,,,,,,,
18,B,,,,,,,,,,,
18,C,,,,,,,,,,,
18,D,,,,,,,,,,,
18,E,,,,,,,,,,,
18,F,,,,,,,,,,,
18,G,,,,,,,,,,,
18,H,,,,,,,,,,,
18,I,,,,,,,,,,,
18,J,,,,,,,,,,,
18,K,,,,,,,,,,,
18,L,,,,,,,,,,,
18,M,,,,,,,,,,,
18,N,,,,,,,,,,,
18,O,,,,,,,,,,,
18,P,,,,,,,,,,,
19,A,,,,,,,,,,,
19,B,,,,,,,,,,,
19,C,,,,,,,,,,,
19,D,,,,,,,,,,,
19,E,,,,,,,,,,,
19,F,,,,,,,,,,,
19,G,,,,,,,,,,,
19,H,,,,,,,,,,,
19,I,,,,,,,,,,,
19,J,,,,,,,,,,,
19,K,,,,,,,,,,,
19,L,,,,,,,,,,,
19,M,,,,,,,,,,,
19,N,,,,,,,,,,,
19,O,,,,,,,,,,,
19,P,,,,,,,,,,,
20,A,,,,,,,,,,,
20,B,,,,,,,,,,,
20,C,,,,,,,,,,,
20,D,,,,,,,,,,,
20,E,,,,,,,,,,,
20,F,,,,,,,,,,,
20,G,,,,,,,,,,,
20,H,,,,,,,,,,,
20,I,,,,,,,,,,,
20,J,,,,,,,,,,,
20,K,,,,,,,,,,,
20,L,,,,,,,,,,,
20,M,,,,,,,,,,,
20,N,,,,,,,,,,,
20,O,,,,,,,,,,,
20,P,,,,,,,,,,,
21,A,,,,,,,,,,,
21,B,,,,,,,,,,,
21,C,,,,,,,,,,,
21,D,,,,,,,,,,,
21,E,,,,,,,,,,,
21,F,,,,,,,,,,,
21,G,,,,,,,,,,,
21,H,,,,,,,,,,,
21,I,,,,,,,,,,,
21,J,,,,,,,,,,,
21,K,,,,,,,,,,,
21,L,,,,,,,,,,,
21,M,,,,,,,,,,,
21,N,,,,,,,,,,,
21,O,,,,,,,,,,,
21,P,,,,,,,,,,,
22,A,,,,,,,,,,,
22,B,,,,,,,,,,,
22,C,,,,,,,,,,,
22,D,,,,,,,,,,,
22,E,,,,,,,,,,,
22,F,,,,,,,,,,,
22,G,,,,,,,,,,,
22,H,,,,,,,,,,,
22,I,,,,,,,,,,,
22,J,,,,,,,,,,,
22,K,,,,,,,,,,,
22,L,,,,,,,,,,,
22,M,,,,,,,,,,,
22,N,,,,,,,,,,,
22,O,,,,,,,,,,,
22,P,,,,,,,,,,,
23,A,,,,,,,,,,,
23,B,,,,,,,,,,,
23,C,,,,,,,,,,,
23,D,,,,,,,,,,,
23,E,,,,,,,,,,,
23,F,,,,,,,,,,,
23,G,,,,,,,,,,,
23,H,,,,,,,,,,,
23,I,,,,,,,,,,,
23,J,,,,,,,,,,,
23,K,,,,,,,,,,,
23,L,,,,,,,,,,,
23,M,,,,,,,,,,,
23,N,,,,,,,,,,,
23,O,,,,,,,,,,,
23,P,,,,,,,,,,,
24,A,,,,,,,,,,,
24,B,,,,,,,,,,,
24,C,,,,,,,,,,,
24,D,,,,,,,,,,,
24,E,,,,,,,,,,,
24,F,,,,,,,,,,,
24,G,,,,,,,,,,,
24,H,,,,,,,,,,,
24,I,,,,,,,,,,,
24,J,,,,,,,,,,,
24,K,,,,,,,,,,,
24,L,,,,,,,,,,,
24,M,,,,,,,,,,,
24,N,,,,,,,,,,,
24,O,,,,,,,,,,,
24,P,,,,,,,,,,,
25,A,,,,,,,,,,,
25,B,,,,,,,,,,,
25,C,,,,,,,,,,,
25,D,,,,,,,,,,,
25,E,,,,,,,,,,,
25,F,,,,,,,,,,,
25,G,,,,,,,,,,,
25,H,,,,,,,,,,,
25,I,,,,,,,,,,,
25,J,,,,,,,,,,,
25,K,,,,,,,,,,,
25,L,,,,,,,,,,,
25,M,,,,,,,,,,,
25,N,,,,,,,,,,,
25,O,,,,,,,,,,,
25,P,,,,,,,,,,,
26,A,,,,,,,,,,,
26,B,,,,,,,,,,,
26,C,,,,,,,,,,,
26,D,,,,,,,,,,,
26,E,,,,,,,,,,,
26,F,,,,,,,,,,,
26,G,,,,,,,,,,,
26,H,,,,,,,,,,,
26,I,,,,,,,,,,,
26,J,,,,,,,,,,,
26,K,,,,,,,,,,,
26,L,,,,,,,,,,,
26,M,,,,,,,,,,,
26,N,,,,,,,,,,,
26,O,,,,,,,,,,,
26,P,,,,,,,,,,,
27,A,,,,,,,,,,,
27,B,,,,,,,,,,,
27,C,,,,,,,,,,,
27,D,,,,,,,,,,,
27,E,,,,,,,,,,,
27,F,,,,,,,,,,,
27,G,,,,,,,,,,,
27,H,,,,,,,,,,,
27,I,,,,,,,,,,,
27,J,,,,,,,,,,,
27,K,,,,,,,,,,,
27,L,,,,,,,,,,,
27,M,,,,,,,,,,,
27,N,,,,,,,,,,,
27,O,,,,,,,,,,,
27,P,,,,,,,,,,,
28,A,,,,,,,,,,,
28,B,,,,,,,,,,,
28,C,,,,,,,,,,,
28,D,,,,,,,,,,,
28,E,,,,,,,,,,,
28,F,,,,,,,,,,,
28,G,,,,,,,,,,,
28,H,,,,,,,,,,,
28,I,,,,,,,,,,,
28,J,,,,,,,,,,,
28,K,,,,,,,,,,,
28,L,,,,,,,,,,,
28,M,,,,,,,,,,,
28,N,,,,,,,,,,,
28,O,,,,,,,,,,,
28,P,,,,,,,,,,,
29,A,,,,,,,,,,,
29,B,,,,,,,,,,,
29,C,,,,,,,,,,,
29,D,,,,,,,,,,,
29,E,,,,,,,,,,,
29,F,,,,,,,,,,,
29,G,,,,,,,,,,,
29,H,,,,,,,,,,,
29,I,,,,,,,,,,,
29,J,,,,,,,,,,,
29,K,,,,,,,,,,,
29,L,,,,,,,,,,,
